"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour"
2016-09-13 00:00:00;494,104278564453;435;13,5871904745869;"September";"South";18,3;1009;97;9;17,8;12,964;20,372;0;0
2016-09-13 01:00:00;436,979816436768;422,333333333;3,4679912637204;;;;;;;;;;;
2016-09-13 02:00:00;406,802429199219;376,166666667;8,14419916673237;;;;;;;;;;;
2016-09-13 03:00:00;402,702392578125;407,833333333;1,25809744704843;"September";"East";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3
2016-09-13 04:00:00;375,126230239868;399,5;6,10106877600296;;;;;;;;;;;
2016-09-13 05:00:00;302,246864318848;346,333333333;12,7294905719523;;;;;;;;;;;
2016-09-13 06:00:00;339,314666748047;313,833333333;8,11938398780901;"September";"South";17,6;1008,1;99;5;17,4;5,556;14,816;0;6
2016-09-13 07:00:00;386,47123336792;362,833333333;6,51480938032384;;;;;;;;;;;
2016-09-13 08:00:00;456,413764953613;445,666666667;2,41146558412982;;;;;;;;;;;
2016-09-13 09:00:00;527,465942382812;503,833333333;4,69056084349881;"September";"North";20,1;1007,2;87;45;17,9;11,112;18,52;0;9
2016-09-13 10:00:00;545,678970336914;513,833333333;6,19765883955913;;;;;;;;;;;
2016-09-13 11:00:00;615,126312255859;545,5;12,7637602668853;;;;;;;;;;;
2016-09-13 12:00:00;634,919860839844;555,666666667;14,262722406622;"September";"North";23,3;1005,8;76;40;18,8;14,816;25,928;0;12
2016-09-13 13:00:00;625,557306289673;576,5;8,50950672847751;;;;;;;;;;;
2016-09-13 14:00:00;650,805490493774;588,5;10,5871691578206;;;;;;;;;;;
2016-09-13 15:00:00;550,152709960938;563;2,28193428757771;"September";"North";18,8;1005,1;93;5;17,6;14,816;29,632;0;15
2016-09-13 16:00:00;473,436820983887;496,5;4,64515186628666;;;;;;;;;;;
2016-09-13 17:00:00;487,156482696533;449,333333333;8,41761484352254;;;;;;;;;;;
2016-09-13 18:00:00;548,511047363281;505,833333333;8,43710985772179;"September";"North";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18
2016-09-13 19:00:00;611,278205871582;561,166666667;8,92988521613644;;;;;;;;;;;
2016-09-13 20:00:00;598,915615081787;542,333333333;10,4331189456955;;;;;;;;;;;
2016-09-13 21:00:00;547,716979980469;512,833333333;6,80214104273475;"September";"East";17,2;1005,1;98;3;16,9;12,964;25,928;0;21
2016-09-13 22:00:00;666,432266235352;624,333333333;6,74302182098889;;;;;;;;;;;
2016-09-13 23:00:00;594,913082122803;550,666666667;8,03506333942663;;;;;;;;;;;
2016-09-14 00:00:00;556,105041503906;467,166666667;19,0378255091351;"September";"East";17,5;1005,5;97;9;17;12,964;24,076;3;0
2016-09-14 01:00:00;508,925579071045;405,833333333;25,4026067527219;;;;;;;;;;;
2016-09-14 02:00:00;433,906898498535;362,5;19,6984547582166;;;;;;;;;;;
2016-09-14 03:00:00;439,697662353516;396,666666667;10,848150173062;"September";"East";16,2;1004;97;2,9;15,7;7,408;12,964;0;3
2016-09-14 04:00:00;413,405731201172;407,833333333;1,36634193743599;;;;;;;;;;;
2016-09-14 05:00:00;349,051330566406;330,833333333;5,50669941564472;;;;;;;;;;;
