"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;514,069702148438;435;18,1769430226293;"September";"Tuesday";"South";18,3;1009;97;17,8;9;12,964;20,372;0;0;0;0
2016-09-13 01:00:00;444,06568145752;422,333333333;5,14578092925099;;;;;;;;;;;;;;
2016-09-13 02:00:00;391,157264709473;376,166666667;3,98509473880178;;;;;;;;;;;;;;
2016-09-13 03:00:00;414,347900390625;407,833333333;1,59736012855668;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0;0
2016-09-13 04:00:00;407,832341194153;399,5;2,08569241405578;;;;;;;;;;;;;;
2016-09-13 05:00:00;317,43327331543;346,333333333;8,34457940835364;;;;;;;;;;;;;;
2016-09-13 06:00:00;351,021362304688;313,833333333;11,8496109309805;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0;0
2016-09-13 07:00:00;416,672012329102;362,833333333;14,8384048680251;;;;;;;;;;;;;;
2016-09-13 08:00:00;502,080413818359;445,666666667;12,6582828312604;;;;;;;;;;;;;;
2016-09-13 09:00:00;523,780517578125;503,833333333;3,9590838726705;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0;0
2016-09-13 10:00:00;542,448509216309;513,833333333;5,56896060006366;;;;;;;;;;;;;;
2016-09-13 11:00:00;573,005886077881;545,5;5,0423255871459;;;;;;;;;;;;;;
2016-09-13 12:00:00;593,418212890625;555,666666667;6,79391953634116;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0;0
2016-09-13 13:00:00;601,740820884705;576,5;4,37828636334858;;;;;;;;;;;;;;
2016-09-13 14:00:00;607,98775100708;588,5;3,31142752881565;;;;;;;;;;;;;;
2016-09-13 15:00:00;570,575439453125;563;1,34554874833481;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0;0
2016-09-13 16:00:00;482,205856323242;496,5;2,87898160659775;;;;;;;;;;;;;;
2016-09-13 17:00:00;402,949661254883;449,333333333;10,3227756850486;;;;;;;;;;;;;;
