dt_posix;puissance;reality;8,415027674
17/09/2016 01:00;518,6518402;397,6666667;0,304237654
17/09/2016 00:00;588,3944702;461,3333333;0,275421539
19/09/2016 23:00;666,0450439;527,8333333;0,261847257
16/09/2016 17:00;478,4534264;386,6666667;0,237379551
13/09/2016 00:00;538,0668945;435;0,23693539
18/09/2016 23:00;647,8157043;527;0,229251811
17/09/2016 17:00;493,2568359;401,6666667;0,228025318
18/09/2016 00:00;579,5591431;473,6666667;0,223559063
18/09/2016 17:00;462,4958115;378,1666667;0,222994653
14/09/2016 23:00;654,4131012;539,8333333;0,212250265
20/09/2016 14:00;480,7822876;608,6666667;0,210105771
16/09/2016 23:00;674,7688293;560,5;0,203869455
17/09/2016 02:00;436,4877777;363,3333333;0,201342507
15/09/2016 01:00;467,2974281;393,1666667;0,188547931
13/09/2016 02:00;445,2718964;376,1666667;0,183709073
19/09/2016 14:00;464,0876694;567,1666667;0,181743751
17/09/2016 23:00;670,8995667;571,3333333;0,174269953
18/09/2016 14:00;473,4886322;572,1666667;0,172463795
15/09/2016 06:00;343,6495056;294;0,168875869
14/09/2016 12:00;606,1815186;519,5;0,166855666
17/09/2016 14:00;505,8552628;606,1666667;0,165484857
15/09/2016 00:00;516,4199219;445,3333333;0,159625573
18/09/2016 01:00;497,1857529;430,8333333;0,154009484
20/09/2016 17:00;349,138855;412,3333333;0,153260659
15/09/2016 09:00;579,7993774;503;0,152682659
15/09/2016 14:00;560,3829994;658;0,148354104
14/09/2016 18:00;489,1962585;426;0,148348025
18/09/2016 21:00;516,987915;450,5;0,147586937
19/09/2016 00:00;519,2252808;453,8333333;0,144088022
14/09/2016 20:00;539,4876709;471,8333333;0,143386092
15/09/2016 10:00;597,0786953;525,5;0,136210648
18/09/2016 22:00;658,8913574;580,1666667;0,135693233
19/09/2016 22:00;661,4302826;583,1666667;0,134204543
18/09/2016 05:00;301,8452225;348;0,132628671
13/09/2016 08:00;504,5115814;445,6666667;0,132037954
20/09/2016 05:00;286,7416306;330;0,131085968
13/09/2016 01:00;477,070343;422,3333333;0,129606179
20/09/2016 00:00;496,9512939;440,1666667;0,129007105
16/09/2016 00:00;499,1542969;442,5;0,128032309
15/09/2016 07:00;402,2145119;357,5;0,125075558
13/09/2016 07:00;406,3030624;362,8333333;0,119806327
17/09/2016 10:00;571,8354588;510,8333333;0,119416885
16/09/2016 14:00;505,1253281;572,6666667;0,117941802
14/09/2016 09:00;534,5385132;478,3333333;0,117502118
19/09/2016 21:00;524,8171387;470;0,11663221
13/09/2016 17:00;397,0795898;449,3333333;0,116291714
20/09/2016 13:00;542,7490439;614,1666667;0,116283782
17/09/2016 22:00;700,2584076;628,6666667;0,113878697
19/09/2016 16:00;431,3118362;485,8333333;0,112222636
20/09/2016 16:00;428,7385559;482,5;0,111422682
20/09/2016 23:00;595,4998932;536,3333333;0,110316768
