"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_evening"
2016-09-13 00:00:00;509,672058105469;435;17,1659903690733;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;446,029178619385;422,333333333;5,61069738431022;;;;;;;;;;;;;
2016-09-13 02:00:00;438,833343505859;376,166666667;16,6592849372097;;;;;;;;;;;;;
2016-09-13 03:00:00;409,079650878906;407,833333333;0,305594821227777;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;403,542988777161;399,5;1,0120122095521;;;;;;;;;;;;;
2016-09-13 05:00:00;318,043869018555;346,333333333;8,1682765104348;;;;;;;;;;;;;
2016-09-13 06:00:00;338,492309570312;313,833333333;7,85734771237558;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;410,143920898438;362,833333333;13,0392064948501;;;;;;;;;;;;;
2016-09-13 08:00:00;501,600738525391;445,666666667;12,5506518754709;;;;;;;;;;;;;
2016-09-13 09:00:00;504,978149414062;503,833333333;0,227221187111467;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;511,369385719299;513,833333333;0,479522727285564;;;;;;;;;;;;;
2016-09-13 11:00:00;548,583103179932;545,5;0,565188483947138;;;;;;;;;;;;;
2016-09-13 12:00:00;582,81103515625;555,666666667;4,88500932619684;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;596,325853347778;576,5;3,43900318261549;;;;;;;;;;;;;
2016-09-13 14:00:00;597,596837997437;588,5;1,5457668644752;;;;;;;;;;;;;
2016-09-13 15:00:00;577,379455566406;563;2,55407736525866;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;492,348342895508;496,5;0,836184713895707;;;;;;;;;;;;;
2016-09-13 17:00:00;423,413803100586;449,333333333;5,76844144638723;;;;;;;;;;;;;
2016-09-13 18:00:00;497,691589355469;505,833333333;1,6095704733186;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;1
2016-09-13 19:00:00;545,228908538818;561,166666667;2,84011133855161;;;;;;;;;;;;;
2016-09-13 20:00:00;527,459432601929;542,333333333;2,74257542675116;;;;;;;;;;;;;
2016-09-13 21:00:00;555,122802734375;512,833333333;8,24624037726404;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;1
2016-09-13 22:00:00;668,682388305664;624,333333333;7,10342578313204;;;;;;;;;;;;;
2016-09-13 23:00:00;575,622383117676;550,666666667;4,53190976706914;;;;;;;;;;;;;
2016-09-14 00:00:00;502,881927490234;467,166666667;7,64507902030871;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0
2016-09-14 01:00:00;438,817253112793;405,833333333;8,12745456586942;;;;;;;;;;;;;
2016-09-14 02:00:00;403,68953704834;362,5;11,3626309098869;;;;;;;;;;;;;
2016-09-14 03:00:00;403,870880126953;396,666666667;1,81618826721354;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0
2016-09-14 04:00:00;391,061668395996;407,833333333;4,11238208508809;;;;;;;;;;;;;
2016-09-14 05:00:00;315,083282470703;330,833333333;4,76072066367135;;;;;;;;;;;;;
2016-09-14 06:00:00;338,657104492188;317,166666667;6,77575548875404;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0
2016-09-14 07:00:00;410,084342956543;384,833333333;6,56154429369377;;;;;;;;;;;;;
2016-09-14 08:00:00;483,469787597656;458,833333333;5,36936889168344;;;;;;;;;;;;;
2016-09-14 09:00:00;528,999389648438;478,333333333;10,5922068952208;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0
2016-09-14 10:00:00;546,148614883423;504;8,36282041337755;;;;;;;;;;;;;
2016-09-14 11:00:00;548,201557159424;492,333333333;11,3476419417322;;;;;;;;;;;;;
2016-09-14 12:00:00;582,285095214844;519,5;12,0856776159468;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0
2016-09-14 13:00:00;591,343914985657;543,333333333;8,83630337166003;;;;;;;;;;;;;
2016-09-14 14:00:00;591,198494911194;573;3,17600260230259;;;;;;;;;;;;;
2016-09-14 15:00:00;525,417907714844;539;2,51986869854476;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15;0
2016-09-14 16:00:00;436,200706481934;438,833333333;0,599914967960894;;;;;;;;;;;;;
