"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_evening"
2016-09-13 00:00:00;506,514312744141;435;16,4400718952047;"September";"Tuesday";"South";18,3;1009;97;17,8;9;12,964;20,372;0;0;0
2016-09-13 01:00:00;437,416847229004;422,333333333;3,57147132502348;;;;;;;;;;;;;
2016-09-13 02:00:00;386,825813293457;376,166666667;2,83362338319386;;;;;;;;;;;;;
2016-09-13 03:00:00;405,953094482422;407,833333333;0,461031185266771;"September";"Tuesday";"East";17,1;1007,4;98;16,8;0,4;3,704;11,112;0;3;0
2016-09-13 04:00:00;401,542348384857;399,5;0,511226128875389;;;;;;;;;;;;;
2016-09-13 05:00:00;309,915740966797;346,333333333;10,5151854762959;;;;;;;;;;;;;
2016-09-13 06:00:00;329,951446533203;313,833333333;5,13588312274676;"September";"Tuesday";"South";17,6;1008,1;99;17,4;5;5,556;14,816;0;6;0
2016-09-13 07:00:00;399,703018188477;362,833333333;10,1616035430897;;;;;;;;;;;;;
2016-09-13 08:00:00;481,64697265625;445,666666667;8,07336708808296;;;;;;;;;;;;;
2016-09-13 09:00:00;520,283752441406;503,833333333;3,26505175820387;"September";"Tuesday";"North";20,1;1007,2;87;17,9;45;11,112;18,52;0;9;0
2016-09-13 10:00:00;546,959726333618;513,833333333;6,4469139800142;;;;;;;;;;;;;
2016-09-13 11:00:00;571,762336730957;545,5;4,81436053729735;;;;;;;;;;;;;
2016-09-13 12:00:00;589,164733886719;555,666666667;6,02844641026371;"September";"Tuesday";"North";23,3;1005,8;76;18,8;40;14,816;25,928;0;12;0
2016-09-13 13:00:00;597,172630310059;576,5;3,58588556982803;;;;;;;;;;;;;
2016-09-13 14:00:00;604,652542114258;588,5;2,74469704575324;;;;;;;;;;;;;
2016-09-13 15:00:00;571,957580566406;563;1,59104450557837;"September";"Tuesday";"North";18,8;1005,1;93;17,6;5;14,816;29,632;0;15;0
2016-09-13 16:00:00;488,283393859863;496,5;1,65490556699632;;;;;;;;;;;;;
2016-09-13 17:00:00;406,968490600586;449,333333333;9,42837746271042;;;;;;;;;;;;;
2016-09-13 18:00:00;524,260559082031;505,833333333;3,6429441349015;"September";"Tuesday";"North";17,2;1005,1;98;16,9;3,9;9,26;24,076;2;18;1
2016-09-13 19:00:00;576,637359619141;561,166666667;2,75688024095007;;;;;;;;;;;;;
2016-09-13 20:00:00;578,46849822998;542,333333333;6,66290686484376;;;;;;;;;;;;;
2016-09-13 21:00:00;569,785949707031;512,833333333;11,1054825558794;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;12,964;25,928;0;21;1
2016-09-13 22:00:00;676,780586242676;624,333333333;8,40052102130866;;;;;;;;;;;;;
2016-09-13 23:00:00;611,921848297119;550,666666667;11,1238223299181;;;;;;;;;;;;;
2016-09-14 00:00:00;512,730285644531;467,166666667;9,75318279932188;"September";"Wednesday";"East";17,5;1005,5;97;17;9;12,964;24,076;3;0;0
2016-09-14 01:00:00;440,975730895996;405,833333333;8,65931767466735;;;;;;;;;;;;;
2016-09-14 02:00:00;404,220626831055;362,5;11,509138436153;;;;;;;;;;;;;
2016-09-14 03:00:00;405,334777832031;396,666666667;2,18523810882957;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;7,408;12,964;0;3;0
2016-09-14 04:00:00;383,961835861206;407,833333333;5,85324825626811;;;;;;;;;;;;;
2016-09-14 05:00:00;323,692329406738;330,833333333;2,15848985176894;;;;;;;;;;;;;
2016-09-14 06:00:00;325,466674804688;317,166666667;2,61692321734485;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;18;36;0;6;0
2016-09-14 07:00:00;393,158470153809;384,833333333;2,16330969791663;;;;;;;;;;;;;
2016-09-14 08:00:00;473,942611694336;458,833333333;3,29297748521909;;;;;;;;;;;;;
2016-09-14 09:00:00;518,98779296875;478,333333333;8,49919016775854;"September";"Wednesday";"East";18;1005,9;82;14,9;29;28,8;46,8;0;9;0
2016-09-14 10:00:00;539,431341171265;504;7,03002801017156;;;;;;;;;;;;;
2016-09-14 11:00:00;549,691741943359;492,333333333;11,6503199614891;;;;;;;;;;;;;
2016-09-14 12:00:00;590,653686523438;519,5;13,6965710343479;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;32,4;54;0;12;0
2016-09-14 13:00:00;586,073896884918;543,333333333;7,86636138992842;;;;;;;;;;;;;
2016-09-14 14:00:00;608,240631103516;573;6,15019740026451;;;;;;;;;;;;;
