"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_evening"
2016-09-13 00:00:00;493,229583740234;435;13,3861112046516;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;439,559375762939;422,333333333;4,07877879162267;;;;;;;;;;;;;
2016-09-13 02:00:00;403,161186218262;376,166666667;7,17621255238931;;;;;;;;;;;;;
2016-09-13 03:00:00;409,717224121094;407,833333333;0,461926633778988;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;405,500665187836;399,5;1,50204385177364;;;;;;;;;;;;;
2016-09-13 05:00:00;318,432312011719;346,333333333;8,05611780211013;;;;;;;;;;;;;
2016-09-13 06:00:00;333,816802978516;313,833333333;6,36754210691563;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;393,227970123291;362,833333333;8,37702437950913;;;;;;;;;;;;;
2016-09-13 08:00:00;490,690032958984;445,666666667;10,1024756077675;;;;;;;;;;;;;
2016-09-13 09:00:00;578,264892578125;503,833333333;14,7730517853472;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;592,161810874939;513,833333333;15,2439463266928;;;;;;;;;;;;;
2016-09-13 11:00:00;625,57740020752;545,5;14,6796334019284;;;;;;;;;;;;;
2016-09-13 12:00:00;583,161926269531;555,666666667;4,94815709703326;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;577,971307754517;576,5;0,255213834261336;;;;;;;;;;;;;
2016-09-13 14:00:00;600,552743911743;588,5;2,04804484481617;;;;;;;;;;;;;
2016-09-13 15:00:00;514,569580078125;563;8,60220602519982;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;467,931476593018;496,5;5,75398255931167;;;;;;;;;;;;;
2016-09-13 17:00:00;448,151145935059;449,333333333;0,26309808559546;;;;;;;;;;;;;
2016-09-13 18:00:00;537,755920410156;505,833333333;6,31089036122121;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;1
