"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;503,628051757812;435;15,7765636224856;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;437,312873840332;422,333333333;3,54685252739002;;;;;;;;;;;;
2016-09-13 02:00:00;395,991786956787;376,166666667;5,2703022480557;;;;;;;;;;;;
2016-09-13 03:00:00;399,558288574219;407,833333333;2,02902609533012;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;389,226991653442;399,5;2,57146641966398;;;;;;;;;;;;
2016-09-13 05:00:00;321,511690139771;346,333333333;7,16698071027528;;;;;;;;;;;;
2016-09-13 06:00:00;336,017181396484;313,833333333;7,06867171434136;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;403,786499023438;362,833333333;11,2870461250735;;;;;;;;;;;;
2016-09-13 08:00:00;481,914001464844;445,666666667;8,13328379906132;;;;;;;;;;;;
2016-09-13 09:00:00;537,36474609375;503,833333333;6,6552589005833;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;559,107305526733;513,833333333;8,81102280773845;;;;;;;;;;;;
2016-09-13 11:00:00;580,171630859375;545,5;6,35593599621907;;;;;;;;;;;;
2016-09-13 12:00:00;592,924682617188;555,666666667;6,7051018506596;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;582,491222381592;576,5;1,03924065595695;;;;;;;;;;;;
2016-09-13 14:00:00;589,880679130554;588,5;0,234609877749227;;;;;;;;;;;;
2016-09-13 15:00:00;548,27685546875;563;2,61512336256661;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;471,071014404297;496,5;5,12164865975894;;;;;;;;;;;;
2016-09-13 17:00:00;416,377529144287;449,333333333;7,33437778681098;;;;;;;;;;;;
2016-09-13 18:00:00;532,023986816406;505,833333333;5,17772391764551;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;579,316535949707;561,166666667;3,23430994048642;;;;;;;;;;;;
2016-09-13 20:00:00;571,209667205811;542,333333333;5,32446229984541;;;;;;;;;;;;
2016-09-13 21:00:00;554,085083007812;512,833333333;8,04389008934142;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;671,137413024902;624,333333333;7,49664917649663;;;;;;;;;;;;
2016-09-13 23:00:00;598,467399597168;550,666666667;8,6805205078945;;;;;;;;;;;;
2016-09-14 00:00:00;535,517211914062;467,166666667;14,6308694784903;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;465,125877380371;405,833333333;14,6100724552164;;;;;;;;;;;;
2016-09-14 02:00:00;419,777709960938;362,5;15,800747575431;;;;;;;;;;;;
2016-09-14 03:00:00;394,673217773438;396,666666667;0,502550141233825;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3
2016-09-14 04:00:00;378,344568252563;407,833333333;7,23059217338634;;;;;;;;;;;;
2016-09-14 05:00:00;313,263162612915;330,833333333;5,31088283731062;;;;;;;;;;;;
2016-09-14 06:00:00;338,203399658203;317,166666667;6,63270614540652;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6
2016-09-14 07:00:00;401,68257522583;384,833333333;4,3783218430952;;;;;;;;;;;;
