"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 00:00:00;481,173126220703;435;10,6145117748743;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0;0
2016-09-13 01:00:00;422,443428039551;422,333333333;0,0260682020246765;;;;;;;;;;;;;;
2016-09-13 02:00:00;376,944129943848;376,166666667;0,206680534385543;;;;;;;;;;;;;;
2016-09-13 03:00:00;383,133148193359;407,833333333;6,05644098234429;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0;0
2016-09-13 04:00:00;370,683811187744;399,5;7,21306353247956;;;;;;;;;;;;;;
2016-09-13 05:00:00;319,01586151123;346,333333333;7,88762420263594;;;;;;;;;;;;;;
2016-09-13 06:00:00;321,530090332031;313,833333333;2,45249824717136;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0;0
2016-09-13 07:00:00;387,62801361084;362,833333333;6,8336280049231;;;;;;;;;;;;;;
2016-09-13 08:00:00;464,964202880859;445,666666667;4,3300380434955;;;;;;;;;;;;;;
2016-09-13 09:00:00;493,543975830078;503,833333333;2,04221452257929;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0;0
2016-09-13 10:00:00;500,546706676483;513,833333333;2,58578527211006;;;;;;;;;;;;;;
2016-09-13 11:00:00;536,876964569092;545,5;1,58075809915824;;;;;;;;;;;;;;
2016-09-13 12:00:00;545,433776855469;555,666666667;1,84155185570337;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0;0
2016-09-13 13:00:00;550,491109848022;576,5;4,51151607146185;;;;;;;;;;;;;;
2016-09-13 14:00:00;546,152844429016;588,5;7,1957783468112;;;;;;;;;;;;;;
2016-09-13 15:00:00;519,244262695312;563;7,77188939692495;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0;0
2016-09-13 16:00:00;441,841613769531;496,5;11,0087384149987;;;;;;;;;;;;;;
2016-09-13 17:00:00;363,345291137695;449,333333333;19,1368046428862;;;;;;;;;;;;;;
2016-09-13 18:00:00;494,687805175781;505,833333333;2,20339930620614;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0;1
2016-09-13 19:00:00;529,992248535156;561,166666667;5,55528686637812;;;;;;;;;;;;;;
2016-09-13 20:00:00;512,217990875244;542,333333333;5,55292116615386;;;;;;;;;;;;;;
2016-09-13 21:00:00;518,240356445312;512,833333333;1,05434314832291;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0;1
