"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"vt_north";"vt_east";"vt_south";"vt_west"
2016-09-13 00:00:00;505,099945068359;435;16,1149299007723;"September";"Tuesday";18,3;1009;97;9;17,8;12,964;20,372;0;0;0;0;0;0
2016-09-13 01:00:00;434,54670715332;422,333333333;2,8918801468816;;;;;;;;;;;;;;;
2016-09-13 02:00:00;382,736358642578;376,166666667;1,74648435327575;;;;;;;;;;;;;;;
2016-09-13 03:00:00;410,150695800781;407,833333333;0,568213110204289;"September";"Tuesday";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3;0;0;0;0
2016-09-13 04:00:00;411,179090619087;399,5;2,92342693844486;;;;;;;;;;;;;;;
2016-09-13 05:00:00;312,00074005127;346,333333333;9,91316456643797;;;;;;;;;;;;;;;
2016-09-13 06:00:00;342,239776611328;313,833333333;9,05144236166489;"September";"Tuesday";17,6;1008,1;99;5;17,4;5,556;14,816;0;6;0;0;0;0
2016-09-13 07:00:00;406,672775268555;362,833333333;12,0825287833519;;;;;;;;;;;;;;;
2016-09-13 08:00:00;495,140518188477;445,666666667;11,1010885986775;;;;;;;;;;;;;;;
2016-09-13 09:00:00;527,281982421875;503,833333333;4,65404877715326;"September";"Tuesday";20,1;1007,2;87;45;17,9;11,112;18,52;0;9;0;0;0;0
2016-09-13 10:00:00;547,376817703247;513,833333333;6,52808648140164;;;;;;;;;;;;;;;
2016-09-13 11:00:00;578,020622253418;545,5;5,96161727835343;;;;;;;;;;;;;;;
2016-09-13 12:00:00;593,483520507812;555,666666667;6,80567255683081;"September";"Tuesday";23,3;1005,8;76;40;18,8;14,816;25,928;0;12;0;0;0;0
2016-09-13 13:00:00;598,688203811646;576,5;3,8487777643791;;;;;;;;;;;;;;;
2016-09-13 14:00:00;611,788255691528;588,5;3,95722271733701;;;;;;;;;;;;;;;
2016-09-13 15:00:00;585,587829589844;563;4,01204788451932;"September";"Tuesday";18,8;1005,1;93;5;17,6;14,816;29,632;0;15;0;0;0;0
2016-09-13 16:00:00;497,797668457031;496,5;0,261363234044562;;;;;;;;;;;;;;;
2016-09-13 17:00:00;420,677383422852;449,333333333;6,37743692362827;;;;;;;;;;;;;;;
2016-09-13 18:00:00;543,991760253906;505,833333333;7,54367583280357;"September";"Tuesday";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18;0;0;0;0
2016-09-13 19:00:00;590,623664855957;561,166666667;5,24924232651136;;;;;;;;;;;;;;;
2016-09-13 20:00:00;587,090759277344;542,333333333;8,25275217167263;;;;;;;;;;;;;;;
2016-09-13 21:00:00;549,661743164062;512,833333333;7,18136038305227;"September";"Tuesday";17,2;1005,1;98;3;16,9;12,964;25,928;0;21;0;0;0;0
2016-09-13 22:00:00;656,68830871582;624,333333333;5,18232387338562;;;;;;;;;;;;;;;
2016-09-13 23:00:00;573,598106384277;550,666666667;4,16430503340136;;;;;;;;;;;;;;;
2016-09-14 00:00:00;512,567993164062;467,166666667;9,71844306037034;"September";"Wednesday";17,5;1005,5;97;9;17;12,964;24,076;3;0;0;0;0;0
2016-09-14 01:00:00;441,582870483398;405,833333333;8,80892085842164;;;;;;;;;;;;;;;
2016-09-14 02:00:00;394,318862915039;362,5;8,77761735587285;;;;;;;;;;;;;;;
2016-09-14 03:00:00;409,076446533203;396,666666667;3,12851593265362;"September";"Wednesday";16,2;1004;97;2,9;15,7;7,408;12,964;0;3;0;0;0;0
2016-09-14 04:00:00;396,064385414124;407,833333333;2,8857248677285;;;;;;;;;;;;;;;
2016-09-14 05:00:00;312,174774169922;330,833333333;5,6398667495507;;;;;;;;;;;;;;;
2016-09-14 06:00:00;328,446746826172;317,166666667;3,55651502653495;"September";"Wednesday";15,5;1004,6;94;45;14,5;18;36;0;6;0;0;0;0
2016-09-14 07:00:00;393,484481811523;384,833333333;2,24802472374126;;;;;;;;;;;;;;;
2016-09-14 08:00:00;468,408233642578;458,833333333;2,08679265737416;;;;;;;;;;;;;;;
2016-09-14 09:00:00;509,842895507812;478,333333333;6,58736491459954;"September";"Wednesday";18;1005,9;82;29;14,9;28,8;46,8;0;9;0;0;0;0
2016-09-14 10:00:00;524,547513961792;504;4,07688769083174;;;;;;;;;;;;;;;
2016-09-14 11:00:00;519,323385238647;492,333333333;5,48206876892331;;;;;;;;;;;;;;;
2016-09-14 12:00:00;579,754211425781;519,5;11,5985007556846;"September";"Wednesday";20,2;1007,2;65;7;13,4;32,4;54;0;12;0;0;0;0
2016-09-14 13:00:00;579,954681098461;543,333333333;6,74012535561047;;;;;;;;;;;;;;;
2016-09-14 14:00:00;590,600556373596;573;3,07165032698014;;;;;;;;;;;;;;;
2016-09-14 15:00:00;507,047027587891;539;5,92819525271046;"September";"Wednesday";20,4;1007,9;62;28;12,9;25,2;46,8;0;15;0;0;0;0
2016-09-14 16:00:00;420,321716308594;438,833333333;4,2183707613567;;;;;;;;;;;;;;;
2016-09-14 17:00:00;376,630676269531;380,5;1,01690505399967;;;;;;;;;;;;;;;
2016-09-14 18:00:00;490,731170654297;426;15,1951104822293;"September";"Wednesday";18,6;1009,3;63;45;11,4;25,2;43,2;0;18;0;0;0;0
2016-09-14 19:00:00;537,458587646484;480,5;11,8540244841799;;;;;;;;;;;;;;;
2016-09-14 20:00:00;537,974437713623;471,833333333;14,0178956652779;;;;;;;;;;;;;;;
2016-09-14 21:00:00;545,545593261719;477,166666667;14,3301976796376;"September";"Wednesday";13,8;1010,5;89;60;12;3,6;10,8;0;21;0;0;0;0
2016-09-14 22:00:00;680,965942382812;607,166666667;12,1546981689441;;;;;;;;;;;;;;;
2016-09-14 23:00:00;699,679748535156;539,833333333;29,6103269902294;;;;;;;;;;;;;;;
2016-09-15 00:00:00;581,517517089844;445,333333333;30,5802807837453;"September";"Thursday";13,4;1010,4;89;60;11,6;10,8;14,4;0;0;0;0;0;0
2016-09-15 01:00:00;518,810520172119;393,166666667;31,9568936426484;;;;;;;;;;;;;;;
2016-09-15 02:00:00;445,10823059082;358,5;24,1585022568536;;;;;;;;;;;;;;;
2016-09-15 03:00:00;394,722808837891;383,833333333;2,83703226354323;"September";"Thursday";12,7;1009,8;94;60;11,8;7,2;7,2;0;3;0;0;0;0
2016-09-15 04:00:00;372,489368438721;396,833333333;6,13455646223429;;;;;;;;;;;;;;;
2016-09-15 05:00:00;309,217651367188;316;2,14631285848497;;;;;;;;;;;;;;;
2016-09-15 06:00:00;334,40478515625;294;13,7431242028061;"September";"Thursday";13,8;1010,1;92;4,6;12,5;7,2;18;;6;0;0;0;0
2016-09-15 07:00:00;392,765464782715;357,5;9,86446567348667;;;;;;;;;;;;;;;
2016-09-15 08:00:00;477,62532043457;459,166666667;4,02003348839715;;;;;;;;;;;;;;;
2016-09-15 09:00:00;592,503540039062;503;17,7939443417619;"September";"Thursday";14;1010,8;98;2,9;13,7;7,2;14,4;9;9;0;0;0;0
2016-09-15 10:00:00;609,233051300049;525,5;15,9339774119979;;;;;;;;;;;;;;;
2016-09-15 11:00:00;645,369091033936;593,666666667;8,7089990511353;;;;;;;;;;;;;;;
2016-09-15 12:00:00;631,890686035156;615,5;2,6629871706184;"September";"Thursday";16,4;1011,4;95;2;15,6;10,8;14,4;0;12;0;0;0;0
2016-09-15 13:00:00;611,413640975952;625,333333333;2,22596359654403;;;;;;;;;;;;;;;
2016-09-15 14:00:00;608,381711959839;658;7,54077325838315;;;;;;;;;;;;;;;
2016-09-15 15:00:00;585,118286132812;613;4,54840356724103;"September";"Thursday";16,3;1011,8;91;19;14,8;10,8;18;1;15;0;0;0;0
2016-09-15 16:00:00;530,757617950439;522;1,67770458820679;;;;;;;;;;;;;;;
2016-09-15 17:00:00;458,065841674805;437;4,82055873565325;;;;;;;;;;;;;;;
2016-09-15 18:00:00;565,04248046875;485,5;16,3836211058187;"September";"Thursday";16,1;1012,8;94;18;15,1;7,2;10,8;;18;0;0;0;0
2016-09-15 19:00:00;595,46263885498;557;6,90532115888339;;;;;;;;;;;;;;;
2016-09-15 20:00:00;599,76753616333;533,166666667;12,4915666451307;;;;;;;;;;;;;;;
2016-09-15 21:00:00;539,761901855469;497,666666667;8,45852013163574;"September";"Thursday";16,2;1014;96;10;15,6;14,4;25,2;0;21;0;0;0;0
2016-09-15 22:00:00;655,125297546387;616,5;6,26525507646175;;;;;;;;;;;;;;;
2016-09-15 23:00:00;591,271362304688;541,833333333;9,1242132829993;;;;;;;;;;;;;;;
2016-09-16 00:00:00;492,891754150391;442,5;11,3879670396363;"September";"Friday";15,9;1014,7;95;16;15,1;18;28,8;0;0;0;0;0;0
2016-09-16 01:00:00;421,142066955566;412,5;2,09504653468277;;;;;;;;;;;;;;;
2016-09-16 02:00:00;367,167724609375;371,166666667;1,07739794996536;;;;;;;;;;;;;;;
2016-09-16 03:00:00;412,8056640625;412;0,19554952973301;"September";"Friday";15,2;1015,4;92;40;13,9;21,6;32,4;0;3;0;0;0;0
2016-09-16 04:00:00;381,182584762573;407,166666667;6,38168200681265;;;;;;;;;;;;;;;
2016-09-16 05:00:00;360,306167602539;341,833333333;5,40404708031899;;;;;;;;;;;;;;;
2016-09-16 06:00:00;349,696838378906;328;6,61488974966654;"September";"Friday";15,1;1016,8;92;15;13,8;18;36;;6;0;0;0;0
2016-09-16 07:00:00;418,652870178223;425,666666667;1,64772039673576;;;;;;;;;;;;;;;
2016-09-16 08:00:00;480,243087768555;461,833333333;3,98623336749938;;;;;;;;;;;;;;;
2016-09-16 09:00:00;533,164245605469;499,166666667;6,81086723307767;"September";"Friday";16,4;1019;76;13;12,2;28,8;39,6;;9;0;0;0;0
2016-09-16 10:00:00;551,399967193604;506;8,97232553233271;;;;;;;;;;;;;;;
2016-09-16 11:00:00;568,796970367432;536,666666667;5,98701311187796;;;;;;;;;;;;;;;
