"dt_posix";"puissance";"reality";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;512,444641113281;435;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0
2016-09-13 01:00:00;448,802356719971;422,333333333;;;;;;;;;;;;;
2016-09-13 02:00:00;397,970764160156;376,166666667;;;;;;;;;;;;;
2016-09-13 03:00:00;373,385101318359;407,833333333;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3
2016-09-13 04:00:00;363,314603805542;399,5;;;;;;;;;;;;;
2016-09-13 05:00:00;294,60391998291;346,333333333;;;;;;;;;;;;;
2016-09-13 06:00:00;343,420806884766;313,833333333;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6
2016-09-13 07:00:00;400,58763885498;362,833333333;;;;;;;;;;;;;
2016-09-13 08:00:00;481,339660644531;445,666666667;;;;;;;;;;;;;
2016-09-13 09:00:00;499,069061279297;503,833333333;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9
2016-09-13 10:00:00;526,230365753174;513,833333333;;;;;;;;;;;;;
2016-09-13 11:00:00;541,826328277588;545,5;;;;;;;;;;;;;
2016-09-13 12:00:00;541,397583007812;555,666666667;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12
2016-09-13 13:00:00;518,001874923706;576,5;;;;;;;;;;;;;
2016-09-13 14:00:00;528,012817382812;588,5;;;;;;;;;;;;;
2016-09-13 15:00:00;516,6591796875;563;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15
2016-09-13 16:00:00;455,156543731689;496,5;;;;;;;;;;;;;
2016-09-13 17:00:00;397,089202880859;449,333333333;;;;;;;;;;;;;
2016-09-13 18:00:00;512,880920410156;505,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18
2016-09-13 19:00:00;558,48070526123;561,166666667;;;;;;;;;;;;;
2016-09-13 20:00:00;550,155433654785;542,333333333;;;;;;;;;;;;;
2016-09-13 21:00:00;508,3681640625;512,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21
2016-09-13 22:00:00;620,803573608398;624,333333333;;;;;;;;;;;;;
2016-09-13 23:00:00;562,103439331055;550,666666667;;;;;;;;;;;;;
2016-09-14 00:00:00;510,533325195312;467,166666667;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0
2016-09-14 01:00:00;455,114643096924;405,833333333;;;;;;;;;;;;;
2016-09-14 02:00:00;406,888717651367;362,5;;;;;;;;;;;;;
2016-09-14 03:00:00;375,637786865234;396,666666667;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3
2016-09-14 04:00:00;359,847736358643;407,833333333;;;;;;;;;;;;;
2016-09-14 05:00:00;297,192657470703;330,833333333;;;;;;;;;;;;;
2016-09-14 06:00:00;335,590606689453;317,166666667;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6
2016-09-14 07:00:00;391,140785217285;384,833333333;;;;;;;;;;;;;
2016-09-14 08:00:00;474,324401855469;458,833333333;;;;;;;;;;;;;
2016-09-14 09:00:00;511,075958251953;478,333333333;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9
2016-09-14 10:00:00;526,78799533844;504;;;;;;;;;;;;;
2016-09-14 11:00:00;529,768709182739;492,333333333;;;;;;;;;;;;;
2016-09-14 12:00:00;541,359130859375;519,5;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12
2016-09-14 13:00:00;523,093549728394;543,333333333;;;;;;;;;;;;;
2016-09-14 14:00:00;529,062446594238;573;;;;;;;;;;;;;
2016-09-14 15:00:00;492,659851074219;539;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15
2016-09-14 16:00:00;436,798397064209;438,833333333;;;;;;;;;;;;;
2016-09-14 17:00:00;406,606063842773;380,5;;;;;;;;;;;;;
2016-09-14 18:00:00;472,125640869141;426;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;;18
2016-09-14 19:00:00;515,888591766357;480,5;;;;;;;;;;;;;
2016-09-14 20:00:00;527,344398498535;471,833333333;;;;;;;;;;;;;
2016-09-14 21:00:00;497,235870361328;477,166666667;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;;21
2016-09-14 22:00:00;626,285705566406;607,166666667;;;;;;;;;;;;;
2016-09-14 23:00:00;635,232604980469;539,833333333;;;;;;;;;;;;;
2016-09-15 00:00:00;525,876342773438;445,333333333;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;8;0
2016-09-15 01:00:00;472,384738922119;393,166666667;;;;;;;;;;;;;
2016-09-15 02:00:00;411,723068237305;358,5;;;;;;;;;;;;;
2016-09-15 03:00:00;371,7197265625;383,833333333;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;7;3
2016-09-15 04:00:00;357,222328186035;396,833333333;;;;;;;;;;;;;
2016-09-15 05:00:00;296,556259155273;316;;;;;;;;;;;;;
2016-09-15 06:00:00;347,630218505859;294;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;8;6
2016-09-15 07:00:00;402,97526550293;357,5;;;;;;;;;;;;;
2016-09-15 08:00:00;479,317077636719;459,166666667;;;;;;;;;;;;;
2016-09-15 09:00:00;535,090393066406;503;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;8;9
2016-09-15 10:00:00;556,976913452148;525,5;;;;;;;;;;;;;
2016-09-15 11:00:00;568,785221099854;593,666666667;;;;;;;;;;;;;
2016-09-15 12:00:00;554,213195800781;615,5;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;8;12
2016-09-15 13:00:00;532,205455780029;625,333333333;;;;;;;;;;;;;
2016-09-15 14:00:00;535,272869110107;658;;;;;;;;;;;;;
2016-09-15 15:00:00;508,259674072266;613;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;8;15
2016-09-15 16:00:00;460,783828735352;522;;;;;;;;;;;;;
2016-09-15 17:00:00;407,744819641113;437;;;;;;;;;;;;;
2016-09-15 18:00:00;499,740112304688;485,5;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;8;18
2016-09-15 19:00:00;544,623596191406;557;;;;;;;;;;;;;
2016-09-15 20:00:00;548,921852111816;533,166666667;;;;;;;;;;;;;
2016-09-15 21:00:00;504,038330078125;497,666666667;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;8;21
