"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"f_evening";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;536,208129882812;435;23,2662367546695;"September";"South";0;0;18,3;1009;97;17,8;9;12,964;20,372;0;7;0
2016-09-13 01:00:00;464,702362060547;422,333333333;10,0321299276039;;;;;;;;;;;;;;
2016-09-13 02:00:00;417,378547668457;376,166666667;10,9557503769837;;;;;;;;;;;;;;
2016-09-13 03:00:00;417,511657714844;407,833333333;2,37310773563997;"September";"East";0;0;17,1;1007,4;98;16,8;0,4;3,704;11,112;0;7;3
2016-09-13 04:00:00;403,963055610657;399,5;1,11716035310557;;;;;;;;;;;;;;
2016-09-13 05:00:00;325,54679107666;346,333333333;6,00188900568619;;;;;;;;;;;;;;
2016-09-13 06:00:00;366,461517333984;313,833333333;16,7694691453129;"September";"South";0;0;17,6;1008,1;99;17,4;5;5,556;14,816;0;8;6
2016-09-13 07:00:00;435,666801452637;362,833333333;20,0735327844842;;;;;;;;;;;;;;
2016-09-13 08:00:00;515,377136230469;445,666666667;15,6418405901458;;;;;;;;;;;;;;
2016-09-13 09:00:00;508,763458251953;503,833333333;0,978522974321482;"September";"North";0;0;20,1;1007,2;87;17,9;45;11,112;18,52;0;8;9
2016-09-13 10:00:00;517,258578300476;513,833333333;0,666606221371052;;;;;;;;;;;;;;
2016-09-13 11:00:00;576,700332641602;545,5;5,71958435226427;;;;;;;;;;;;;;
2016-09-13 12:00:00;581,297973632812;555,666666667;4,61271271130123;"September";"North";0;0;23,3;1005,8;76;18,8;40;14,816;25,928;0;;12
2016-09-13 13:00:00;569,608277320862;576,5;1,19544192179327;;;;;;;;;;;;;;
2016-09-13 14:00:00;589,791117668152;588,5;0,219391277510936;;;;;;;;;;;;;;
2016-09-13 15:00:00;603,09033203125;563;7,12084050288632;"September";"North";0;0;18,8;1005,1;93;17,6;5;14,816;29,632;0;8;15
2016-09-13 16:00:00;516,238082885742;496,5;3,97544468997829;;;;;;;;;;;;;;
2016-09-13 17:00:00;431,79020690918;449,333333333;3,90425662251483;;;;;;;;;;;;;;
2016-09-13 18:00:00;552,160766601562;505,833333333;9,15863590153405;"September";"North";0;1;17,2;1005,1;98;16,9;3,9;9,26;24,076;2;8;18
2016-09-13 19:00:00;605,063297271729;561,166666667;7,82238739614538;;;;;;;;;;;;;;
2016-09-13 20:00:00;600,970684051514;542,333333333;10,8120499173724;;;;;;;;;;;;;;
2016-09-13 21:00:00;566,293640136719;512,833333333;10,4244992142516;"September";"East";0;1;17,2;1005,1;98;16,9;3;12,964;25,928;0;8;21
2016-09-13 22:00:00;671,699653625488;624,333333333;7,58670373078166;;;;;;;;;;;;;;
2016-09-13 23:00:00;590,439210891724;550,666666667;7,22261698995755;;;;;;;;;;;;;;
2016-09-14 00:00:00;510,364288330078;467,166666667;9,24672600707398;"September";"East";0;0;17,5;1005,5;97;17;9;12,964;24,076;3;8;0
2016-09-14 01:00:00;459,038215637207;405,833333333;13,1100326006367;;;;;;;;;;;;;;
