"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;480,405242919922;435;10,437986878143;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;0;0
2016-09-13 01:00:00;420,491039276123;422,333333333;0,436218008732058;;;;;;;;;;;;;;
2016-09-13 02:00:00;351,140640258789;376,166666667;6,65290910275289;;;;;;;;;;;;;;
2016-09-13 03:00:00;378,832641601562;407,833333333;7,1109174658262;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;0
2016-09-13 04:00:00;360,775787353516;399,5;9,69316962365066;;;;;;;;;;;;;;
2016-09-13 05:00:00;288,40731048584;346,333333333;16,7255118904377;;;;;;;;;;;;;;
2016-09-13 06:00:00;310,792510986328;313,833333333;0,968929053640496;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;0
2016-09-13 07:00:00;374,702526092529;362,833333333;3,27125202375936;;;;;;;;;;;;;;
2016-09-13 08:00:00;449,728897094727;445,666666667;0,911495234343345;;;;;;;;;;;;;;
2016-09-13 09:00:00;478,870727539062;503,833333333;4,9545363798784;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;0
2016-09-13 10:00:00;517,644199371338;513,833333333;0,741654110607912;;;;;;;;;;;;;;
2016-09-13 11:00:00;511,588958740234;545,5;6,21650618877463;;;;;;;;;;;;;;
2016-09-13 12:00:00;549,96484375;555,666666667;1,02612290047928;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0;0
2016-09-13 13:00:00;538,530521392822;576,5;6,5862061764402;;;;;;;;;;;;;;
2016-09-13 14:00:00;568,821321487427;588,5;3,34387060536504;;;;;;;;;;;;;;
2016-09-13 15:00:00;531,508544921875;563;5,59350889487123;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;0
2016-09-13 16:00:00;446,187980651855;496,5;10,1333372302406;;;;;;;;;;;;;;
2016-09-13 17:00:00;384,149200439453;449,333333333;14,506854501542;;;;;;;;;;;;;;
2016-09-13 18:00:00;488,935516357422;505,833333333;3,34058984690397;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;1;0
2016-09-13 19:00:00;534,687797546387;561,166666667;4,71853919582967;;;;;;;;;;;;;;
2016-09-13 20:00:00;526,348136901855;542,333333333;2,94748551281273;;;;;;;;;;;;;;
2016-09-13 21:00:00;507,667938232422;512,833333333;1,0072268639418;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;0
2016-09-13 22:00:00;619,016357421875;624,333333333;0,851624545295443;;;;;;;;;;;;;;
2016-09-13 23:00:00;543,553932189941;550,666666667;1,29165880333915;;;;;;;;;;;;;;
2016-09-14 00:00:00;456,353149414062;467,166666667;2,31470223038098;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;0;0
2016-09-14 01:00:00;402,778015136719;405,833333333;0,752850479577103;;;;;;;;;;;;;;
2016-09-14 02:00:00;344,82600402832;362,5;4,87558509563578;;;;;;;;;;;;;;
2016-09-14 03:00:00;379,957275390625;396,666666667;4,21245158227588;"September";"East";"Wednesday";16,2;1004;97;15,7;2,9;12,964;0;;3;0;0
2016-09-14 04:00:00;354,634094238281;407,833333333;13,0443577674121;;;;;;;;;;;;;;
2016-09-14 05:00:00;287,352256774902;330,833333333;13,1428946775239;;;;;;;;;;;;;;
2016-09-14 06:00:00;317,796600341797;317,166666667;0,198612824423394;"September";"East";"Wednesday";15,5;1004,6;94;14,5;45;36;0;7;6;0;0
2016-09-14 07:00:00;372,85445022583;384,833333333;3,11274571862632;;;;;;;;;;;;;;
2016-09-14 08:00:00;452,812103271484;458,833333333;1,31229133196948;;;;;;;;;;;;;;
2016-09-14 09:00:00;486,433654785156;478,333333333;1,69344699348333;"September";"East";"Wednesday";18;1005,9;82;14,9;29;46,8;0;;9;0;0
2016-09-14 10:00:00;506,877977371216;504;0,571027256193615;;;;;;;;;;;;;;
2016-09-14 11:00:00;489,208352088928;492,333333333;0,63472875641311;;;;;;;;;;;;;;
2016-09-14 12:00:00;545,368713378906;519,5;4,97954059266723;"September";"South";"Wednesday";20,2;1007,2;65;13,4;7;54;0;7;12;0;0
2016-09-14 13:00:00;545,903697907925;543,333333333;0,473073234648992;;;;;;;;;;;;;;
2016-09-14 14:00:00;562,877979278564;573;1,76649576290324;;;;;;;;;;;;;;
2016-09-14 15:00:00;479,278594970703;539;11,0800380388306;"September";"South";"Wednesday";20,4;1007,9;62;12,9;28;46,8;0;;15;0;0
2016-09-14 16:00:00;396,143218994141;438,833333333;9,72809289910181;;;;;;;;;;;;;;
2016-09-14 17:00:00;375,42488861084;380,5;1,33380062790017;;;;;;;;;;;;;;
2016-09-14 18:00:00;448,262451171875;426;5,22592750513498;"September";"East";"Wednesday";18,6;1009,3;63;11,4;45;43,2;0;;18;1;0
2016-09-14 19:00:00;499,880718231201;480,5;4,03344812303875;;;;;;;;;;;;;;
2016-09-14 20:00:00;505,359134674072;471,833333333;7,10543299352087;;;;;;;;;;;;;;
2016-09-14 21:00:00;509,266967773438;477,166666667;6,72727232408279;"September";"East";"Wednesday";13,8;1010,5;89;12;60;10,8;0;;21;1;0
2016-09-14 22:00:00;636,71671295166;607,166666667;4,8668755890163;;;;;;;;;;;;;;
2016-09-14 23:00:00;648,192764282227;539,833333333;20,0727565821476;;;;;;;;;;;;;;
