"dt_posix";"puissance";"reality";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;526,440307617188;435;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0
2016-09-13 01:00:00;456,571899414062;422,333333333;;;;;;;;;;;;;
2016-09-13 02:00:00;402,798683166504;376,166666667;;;;;;;;;;;;;
2016-09-13 03:00:00;403,008087158203;407,833333333;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3
2016-09-13 04:00:00;390,963242530823;399,5;;;;;;;;;;;;;
2016-09-13 05:00:00;321,405113220215;346,333333333;;;;;;;;;;;;;
2016-09-13 06:00:00;344,048095703125;313,833333333;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6
2016-09-13 07:00:00;413,281944274902;362,833333333;;;;;;;;;;;;;
2016-09-13 08:00:00;500,405700683594;445,666666667;;;;;;;;;;;;;
2016-09-13 09:00:00;536,847900390625;503,833333333;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9
2016-09-13 10:00:00;567,125440597534;513,833333333;;;;;;;;;;;;;
2016-09-13 11:00:00;580,624088287354;545,5;;;;;;;;;;;;;
2016-09-13 12:00:00;596,496948242188;555,666666667;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12
2016-09-13 13:00:00;585,159090042114;576,5;;;;;;;;;;;;;
2016-09-13 14:00:00;596,691591411829;588,5;;;;;;;;;;;;;
2016-09-13 15:00:00;565,395263671875;563;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15
2016-09-13 16:00:00;491,335418701172;496,5;;;;;;;;;;;;;
2016-09-13 17:00:00;426,585571289062;449,333333333;;;;;;;;;;;;;
2016-09-13 18:00:00;541,478454589844;505,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18
2016-09-13 19:00:00;587,202751159668;561,166666667;;;;;;;;;;;;;
2016-09-13 20:00:00;572,031997680664;542,333333333;;;;;;;;;;;;;
2016-09-13 21:00:00;542,699584960938;512,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21
2016-09-13 22:00:00;658,221534729004;624,333333333;;;;;;;;;;;;;
2016-09-13 23:00:00;584,565742492676;550,666666667;;;;;;;;;;;;;
2016-09-14 00:00:00;537,481262207031;467,166666667;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0
2016-09-14 01:00:00;472,406837463379;405,833333333;;;;;;;;;;;;;
2016-09-14 02:00:00;429,88712310791;362,5;;;;;;;;;;;;;
2016-09-14 03:00:00;404,1240234375;396,666666667;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3
2016-09-14 04:00:00;387,74578666687;407,833333333;;;;;;;;;;;;;
2016-09-14 05:00:00;318,098281860352;330,833333333;;;;;;;;;;;;;
2016-09-14 06:00:00;342,204010009766;317,166666667;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6
2016-09-14 07:00:00;403,966621398926;384,833333333;;;;;;;;;;;;;
2016-09-14 08:00:00;486,287567138672;458,833333333;;;;;;;;;;;;;
2016-09-14 09:00:00;534,730712890625;478,333333333;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9
2016-09-14 10:00:00;557,37292098999;504;;;;;;;;;;;;;
2016-09-14 11:00:00;556,41837310791;492,333333333;;;;;;;;;;;;;
2016-09-14 12:00:00;590,433654785156;519,5;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12
2016-09-14 13:00:00;577,92909526825;543,333333333;;;;;;;;;;;;;
2016-09-14 14:00:00;586,693556308746;573;;;;;;;;;;;;;
2016-09-14 15:00:00;506,653594970703;539;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15
