"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;506,503784179688;435;16,4376515355603;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;439,650749206543;422,333333333;4,10041417684846;;;;;;;;;;;;
2016-09-13 02:00:00;390,881652832031;376,166666667;3,91182618476337;;;;;;;;;;;;
2016-09-13 03:00:00;404,469512939453;407,833333333;0,824802711945143;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;403,195714473724;399,5;0,925084974649403;;;;;;;;;;;;
2016-09-13 05:00:00;323,636367797852;346,333333333;6,55350304191634;;;;;;;;;;;;
2016-09-13 06:00:00;337,742065429688;313,833333333;7,61828956878797;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;405,678894042969;362,833333333;11,808606534683;;;;;;;;;;;;
2016-09-13 08:00:00;496,709930419922;445,666666667;11,4532379400637;;;;;;;;;;;;
2016-09-13 09:00:00;511,777648925781;503,833333333;1,57677451395035;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;523,700240135193;513,833333333;1,92025432413868;;;;;;;;;;;;
2016-09-13 11:00:00;563,301986694336;545,5;3,26342560849421;;;;;;;;;;;;
2016-09-13 12:00:00;570,122497558594;555,666666667;2,60152925463439;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;571,39293217659;576,5;0,88587473086037;;;;;;;;;;;;
2016-09-13 14:00:00;572,886991977692;588,5;2,65301750591476;;;;;;;;;;;;
2016-09-13 15:00:00;562,399108886719;563;0,106730215502886;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;478,733825683594;496,5;3,57828284318353;;;;;;;;;;;;
2016-09-13 17:00:00;399,807754516602;449,333333333;11,0220130897111;;;;;;;;;;;;
2016-09-13 18:00:00;511,530731201172;505,833333333;1,12633895252237;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;559,112308502197;561,166666667;0,366086991054614;;;;;;;;;;;;
2016-09-13 20:00:00;537,30902671814;542,333333333;0,92642408387157;;;;;;;;;;;;
2016-09-13 21:00:00;555,149047851562;512,833333333;8,25135804717386;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;670,452568054199;624,333333333;7,38695697617039;;;;;;;;;;;;
2016-09-13 23:00:00;601,455760955811;550,666666667;9,22320114203024;;;;;;;;;;;;
2016-09-14 00:00:00;503,248229980469;467,166666667;7,7234884010224;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;438,970321655273;405,833333333;8,16517166052583;;;;;;;;;;;;
2016-09-14 02:00:00;393,900321960449;362,5;8,66215778219289;;;;;;;;;;;;
2016-09-14 03:00:00;407,034332275391;396,666666667;2,61369721219712;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3
2016-09-14 04:00:00;385,706798553467;407,833333333;5,425386541778;;;;;;;;;;;;
2016-09-14 05:00:00;328,759643554688;330,833333333;0,626807993445211;;;;;;;;;;;;
2016-09-14 06:00:00;340,002075195312;317,166666667;7,19981351391124;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6
2016-09-14 07:00:00;403,726951599121;384,833333333;4,9095586659517;;;;;;;;;;;;
2016-09-14 08:00:00;495,486907958984;458,833333333;7,98842890505144;;;;;;;;;;;;
2016-09-14 09:00:00;526,005615234375;478,333333333;9,9663307110958;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9
2016-09-14 10:00:00;550,322765350342;504;9,19102487109956;;;;;;;;;;;;
2016-09-14 11:00:00;529,966098546982;492,333333333;7,64375732173473;;;;;;;;;;;;
2016-09-14 12:00:00;591,093444824219;519,5;13,7812213328621;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12
2016-09-14 13:00:00;599,196043968201;543,333333333;10,2814804850126;;;;;;;;;;;;
2016-09-14 14:00:00;582,851283073425;573;1,71924660967283;;;;;;;;;;;;
2016-09-14 15:00:00;504,527404785156;539;6,39565773930311;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15
2016-09-14 16:00:00;422,171241760254;438,833333333;3,7969065490525;;;;;;;;;;;;
2016-09-14 17:00:00;367,120361328125;380,5;3,51633079418528;;;;;;;;;;;;
2016-09-14 18:00:00;491,290313720703;426;15,3263647231697;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18
2016-09-14 19:00:00;521,294300079346;480,5;8,48996879903136;;;;;;;;;;;;
2016-09-14 20:00:00;536,931636810303;471,833333333;13,7968852300986;;;;;;;;;;;;
2016-09-14 21:00:00;525,750427246094;477,166666667;10,1817172013398;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;21
2016-09-14 22:00:00;663,771209716797;607,166666667;9,3227356107218;;;;;;;;;;;;
2016-09-14 23:00:00;670,264953613281;539,833333333;24,1614609966709;;;;;;;;;;;;
2016-09-15 00:00:00;548,4912109375;445,333333333;23,1641940728841;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0
2016-09-15 01:00:00;485,428707122803;393,166666667;23,4663943507565;;;;;;;;;;;;
2016-09-15 02:00:00;407,639511108398;358,5;13,7069765992743;;;;;;;;;;;;
2016-09-15 03:00:00;385,920776367188;383,833333333;0,543840998920364;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;3
2016-09-15 04:00:00;359,339483261108;396,833333333;9,44826125289956;;;;;;;;;;;;
2016-09-15 05:00:00;288,098289489746;316;8,82965522476389;;;;;;;;;;;;
2016-09-15 06:00:00;345,197082519531;294;17,4139736460991;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;6
2016-09-15 07:00:00;404,786716461182;357,5;13,2270535555753;;;;;;;;;;;;
2016-09-15 08:00:00;470,210983276367;459,166666667;2,40529581329056;;;;;;;;;;;;
