"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour"
2016-09-13 00:00:00;510,979858398438;435;17,4666341145833;"September";"South";"Tuesday";18,3;1009;97;9;17,8;12,964;20,372;0;0
2016-09-13 01:00:00;451,764225006104;422,333333333;6,96864049087453;;;;;;;;;;;;
2016-09-13 02:00:00;416,275596618652;376,166666667;10,6625422999424;;;;;;;;;;;;
2016-09-13 03:00:00;414,323181152344;407,833333333;1,59129901577828;"September";"East";"Tuesday";17,1;1007,4;98;0,4;16,8;3,704;11,112;0;3
2016-09-13 04:00:00;411,262752771378;399,5;2,94436865366147;;;;;;;;;;;;
2016-09-13 05:00:00;311,93399810791;346,333333333;9,93243557992;;;;;;;;;;;;
2016-09-13 06:00:00;340,943237304688;313,833333333;8,63831247107264;"September";"South";"Tuesday";17,6;1008,1;99;5;17,4;5,556;14,816;0;6
2016-09-13 07:00:00;410,659210205078;362,833333333;13,1812246776634;;;;;;;;;;;;
2016-09-13 08:00:00;498,844863891602;445,666666667;11,9322806038658;;;;;;;;;;;;
2016-09-13 09:00:00;536,26416015625;503,833333333;6,43681643862484;"September";"North";"Tuesday";20,1;1007,2;87;45;17,9;11,112;18,52;0;9
2016-09-13 10:00:00;551,434602737427;513,833333333;7,31779488896226;;;;;;;;;;;;
2016-09-13 11:00:00;581,031566619873;545,5;6,51357774883099;;;;;;;;;;;;
2016-09-13 12:00:00;600,447631835938;555,666666667;8,05896193801632;"September";"North";"Tuesday";23,3;1005,8;76;40;18,8;14,816;25,928;0;12
2016-09-13 13:00:00;607,752003192902;576,5;5,42098927890748;;;;;;;;;;;;
2016-09-13 14:00:00;622,204669952393;588,5;5,72721664441675;;;;;;;;;;;;
2016-09-13 15:00:00;563,965698242188;563;0,171527218861012;"September";"North";"Tuesday";18,8;1005,1;93;5;17,6;14,816;29,632;0;15
2016-09-13 16:00:00;478,524894714355;496,5;3,62036360234532;;;;;;;;;;;;
2016-09-13 17:00:00;396,201385498047;449,333333333;11,8246174706957;;;;;;;;;;;;
2016-09-13 18:00:00;524,999328613281;505,833333333;3,78899412460505;"September";"North";"Tuesday";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18
2016-09-13 19:00:00;571,66162109375;561,166666667;1,8702027490485;;;;;;;;;;;;
2016-09-13 20:00:00;568,424789428711;542,333333333;4,81096301703631;;;;;;;;;;;;
2016-09-13 21:00:00;531,927001953125;512,833333333;3,72317230161925;"September";"East";"Tuesday";17,2;1005,1;98;3;16,9;12,964;25,928;0;21
2016-09-13 22:00:00;638,38257598877;624,333333333;2,25027912265515;;;;;;;;;;;;
2016-09-13 23:00:00;553,605716705322;550,666666667;0,533725793883873;;;;;;;;;;;;
2016-09-14 00:00:00;502,842926025391;467,166666667;7,63673050839069;"September";"East";"Wednesday";17,5;1005,5;97;9;17;12,964;24,076;3;0
2016-09-14 01:00:00;438,091003417969;405,833333333;7,94850186899267;;;;;;;;;;;;
2016-09-14 02:00:00;395,962379455566;362,5;9,23100122912177;;;;;;;;;;;;
2016-09-14 03:00:00;402,736419677734;396,666666667;1,53018983463763;"September";"East";"Wednesday";16,2;1004;97;2,9;15,7;7,408;12,964;0;3
2016-09-14 04:00:00;390,797343254089;407,833333333;4,17719413459531;;;;;;;;;;;;
2016-09-14 05:00:00;305,342987060547;330,833333333;7,70489056095077;;;;;;;;;;;;
2016-09-14 06:00:00;338,926818847656;317,166666667;6,86079417150815;"September";"East";"Wednesday";15,5;1004,6;94;45;14,5;18;36;0;6
2016-09-14 07:00:00;401,396327972412;384,833333333;4,30393970708354;;;;;;;;;;;;
2016-09-14 08:00:00;492,712173461914;458,833333333;7,38369200049517;;;;;;;;;;;;
2016-09-14 09:00:00;528,640747070312;478,333333333;10,5172293527556;"September";"East";"Wednesday";18;1005,9;82;29;14,9;28,8;46,8;0;9
2016-09-14 10:00:00;551,562602996826;504;9,43702440413218;;;;;;;;;;;;
2016-09-14 11:00:00;555,246101379395;492,333333333;12,7784904630543;;;;;;;;;;;;
2016-09-14 12:00:00;597,75;519,5;15,0625601539942;"September";"South";"Wednesday";20,2;1007,2;65;7;13,4;32,4;54;0;12
2016-09-14 13:00:00;600,702015161514;543,333333333;10,558653097279;;;;;;;;;;;;
