"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening"
2016-09-13 00:00:00;519,382629394531;435;19,3983056079382;"September";"South";0;18,3;1009;97;17,8;9;12,964;20,372;0;7;0;0
2016-09-13 01:00:00;447,645133972168;422,333333333;5,99332296113369;;;;;;;;;;;;;;
2016-09-13 02:00:00;403,345443725586;376,166666667;7,22519549629468;;;;;;;;;;;;;;
2016-09-13 03:00:00;397,062622070312;407,833333333;2,64095903458021;"September";"East";0;17,1;1007,4;98;16,8;0,4;3,704;11,112;0;7;3;0
2016-09-13 04:00:00;372,83634185791;399,5;6,67425735721898;;;;;;;;;;;;;;
2016-09-13 05:00:00;324,12813949585;346,333333333;6,41150928888501;;;;;;;;;;;;;;
2016-09-13 06:00:00;335,630310058594;313,833333333;6,94539885043555;"September";"South";0;17,6;1008,1;99;17,4;5;5,556;14,816;0;8;6;0
2016-09-13 07:00:00;401,942474365234;362,833333333;10,7788170047598;;;;;;;;;;;;;;
2016-09-13 08:00:00;470,091728210449;445,666666667;5,48056728723207;;;;;;;;;;;;;;
2016-09-13 09:00:00;495,147125244141;503,833333333;1,72402409967551;"September";"North";0;20,1;1007,2;87;17,9;45;11,112;18,52;0;8;9;0
2016-09-13 10:00:00;505,568203926086;513,833333333;1,60852340063295;;;;;;;;;;;;;;
2016-09-13 11:00:00;544,175744056702;545,5;0,242760026269173;;;;;;;;;;;;;;
2016-09-13 12:00:00;558,851501464844;555,666666667;0,573155632485042;"September";"North";0;23,3;1005,8;76;18,8;40;14,816;25,928;0;;12;0
2016-09-13 13:00:00;556,912165999413;576,5;3,39771621866218;;;;;;;;;;;;;;
2016-09-13 14:00:00;581,909057021141;588,5;1,11995632605929;;;;;;;;;;;;;;
2016-09-13 15:00:00;541,928039550781;563;3,74279936931061;"September";"North";0;18,8;1005,1;93;17,6;5;14,816;29,632;0;8;15;0
2016-09-13 16:00:00;454,724113464355;496,5;8,41407583799487;;;;;;;;;;;;;;
2016-09-13 17:00:00;390,781047821045;449,333333333;13,0309240753706;;;;;;;;;;;;;;
2016-09-13 18:00:00;522,99658203125;505,833333333;3,39306399306649;"September";"North";0;17,2;1005,1;98;16,9;3,9;9,26;24,076;2;8;18;1
2016-09-13 19:00:00;570,044727325439;561,166666667;1,58207199140497;;;;;;;;;;;;;;
2016-09-13 20:00:00;578,695523262024;542,333333333;6,70476765747626;;;;;;;;;;;;;;
2016-09-13 21:00:00;523,854919433594;512,833333333;2,14915556072815;"September";"East";0;17,2;1005,1;98;16,9;3;12,964;25,928;0;8;21;1
2016-09-13 22:00:00;633,484489440918;624,333333333;1,46574844227274;;;;;;;;;;;;;;
2016-09-13 23:00:00;558,139198303223;550,666666667;1,35699727049967;;;;;;;;;;;;;;
2016-09-14 00:00:00;489,065368652344;467,166666667;4,68755661476877;"September";"East";0;17,5;1005,5;97;17;9;12,964;24,076;3;8;0;0
2016-09-14 01:00:00;430,324970245361;405,833333333;6,03490026588455;;;;;;;;;;;;;;
2016-09-14 02:00:00;392,345542907715;362,5;8,23325321592134;;;;;;;;;;;;;;
2016-09-14 03:00:00;398,938720703125;396,666666667;0,572786731795733;"September";"East";0;16,2;1004;97;15,7;2,9;7,408;12,964;0;;3;0
2016-09-14 04:00:00;369,861211776733;407,833333333;9,31069592716738;;;;;;;;;;;;;;
2016-09-14 05:00:00;320,957582473755;330,833333333;2,98511360985039;;;;;;;;;;;;;;
2016-09-14 06:00:00;314,956939697266;317,166666667;0,696708450782575;"September";"East";0;15,5;1004,6;94;14,5;45;18;36;0;7;6;0
2016-09-14 07:00:00;352,108577728271;384,833333333;8,50361774051715;;;;;;;;;;;;;;
2016-09-14 08:00:00;432,875164031982;458,833333333;5,65742883422516;;;;;;;;;;;;;;
2016-09-14 09:00:00;484,83447265625;478,333333333;1,35912320346785;"September";"East";0;18;1005,9;82;14,9;29;28,8;46,8;0;;9;0
2016-09-14 10:00:00;519,936100006104;504;3,16192460438562;;;;;;;;;;;;;;
2016-09-14 11:00:00;521,340750098228;492,333333333;5,89182466457308;;;;;;;;;;;;;;
2016-09-14 12:00:00;552,05517578125;519,5;6,26663633902791;"September";"South";0;20,2;1007,2;65;13,4;7;32,4;54;0;7;12;0
2016-09-14 13:00:00;527,33251953125;543,333333333;2,94493505553862;;;;;;;;;;;;;;
2016-09-14 14:00:00;527,50564455986;573;7,93967808728443;;;;;;;;;;;;;;
2016-09-14 15:00:00;502,415435791016;539;6,78748872151844;"September";"South";0;20,4;1007,9;62;12,9;28;25,2;46,8;0;;15;0
2016-09-14 16:00:00;420,538284301758;438,833333333;4,16901990837586;;;;;;;;;;;;;;
2016-09-14 17:00:00;364,485569000244;380,5;4,2087860708951;;;;;;;;;;;;;;
2016-09-14 18:00:00;450,902557373047;426;5,84567074484668;"September";"East";0;18,6;1009,3;63;11,4;45;25,2;43,2;0;;18;1
2016-09-14 19:00:00;501,853500366211;480,5;4,44401672553818;;;;;;;;;;;;;;
2016-09-14 20:00:00;501,981086745858;471,833333333;6,3894920691373;;;;;;;;;;;;;;
2016-09-14 21:00:00;515,005737304688;477,166666667;7,92994843960762;"September";"East";0;13,8;1010,5;89;12;60;3,6;10,8;0;;21;1
2016-09-14 22:00:00;657,768295288086;607,166666667;8,33405906468156;;;;;;;;;;;;;;
2016-09-14 23:00:00;653,215562343597;539,833333333;21,003191542575;;;;;;;;;;;;;;
2016-09-15 00:00:00;533,328857421875;445,333333333;19,7594739720676;"September";"North";0;13,4;1010,4;89;11,6;60;10,8;14,4;0;8;0;0
2016-09-15 01:00:00;470,69421005249;393,166666667;19,7187477877298;;;;;;;;;;;;;;
2016-09-15 02:00:00;395,480625152588;358,5;10,3153766116005;;;;;;;;;;;;;;
2016-09-15 03:00:00;376,43408203125;383,833333333;1,9277250460503;"September";"East";0;12,7;1009,8;94;11,8;60;7,2;7,2;0;7;3;0
2016-09-15 04:00:00;351,452903747559;396,833333333;11,43563954275;;;;;;;;;;;;;;
2016-09-15 05:00:00;290,085922241211;316;8,20065751860413;;;;;;;;;;;;;;
2016-09-15 06:00:00;338,02099609375;294;14,9731279230442;"September";"North";0;13,8;1010,1;92;12,5;4,6;7,2;18;;8;6;0
2016-09-15 07:00:00;396,176879882812;357,5;10,818707659528;;;;;;;;;;;;;;
2016-09-15 08:00:00;477,714942932129;459,166666667;4,03955199966216;;;;;;;;;;;;;;
2016-09-15 09:00:00;562,823120117188;503;11,8932644368166;"September";"West";0;14;1010,8;98;13,7;2,9;7,2;14,4;9;8;9;0
2016-09-15 10:00:00;593,471042633057;525,5;12,9345466475845;;;;;;;;;;;;;;
2016-09-15 11:00:00;617,344156265259;593,666666667;3,98834748987853;;;;;;;;;;;;;;
2016-09-15 12:00:00;586,565124511719;615,5;4,70103582262896;"September";"West";0;16,4;1011,4;95;15,6;2;10,8;14,4;0;8;12;0
2016-09-15 13:00:00;586,670528039336;625,333333333;6,18275137958706;;;;;;;;;;;;;;
2016-09-15 14:00:00;583,660285815597;658;11,2978289034048;;;;;;;;;;;;;;
2016-09-15 15:00:00;550,206237792969;613;10,2436806210491;"September";"North";0;16,3;1011,8;91;14,8;19;10,8;18;1;8;15;0
2016-09-15 16:00:00;483,988487243652;522;7,2818989954689;;;;;;;;;;;;;;
2016-09-15 17:00:00;462,299251556396;437;5,78930241565137;;;;;;;;;;;;;;
2016-09-15 18:00:00;494,408996582031;485,5;1,83501474398172;"September";"West";0;16,1;1012,8;94;15,1;18;7,2;10,8;;8;18;1
2016-09-15 19:00:00;537,310604095459;557;3,53490052146158;;;;;;;;;;;;;;
2016-09-15 20:00:00;525,981333732605;533,166666667;1,34767107240834;;;;;;;;;;;;;;
2016-09-15 21:00:00;525,62060546875;497,666666667;5,61700042901499;"September";"North";0;16,2;1014;96;15,6;10;14,4;25,2;0;8;21;1
2016-09-15 22:00:00;646,615684509277;616,5;4,88494477036129;;;;;;;;;;;;;;
2016-09-15 23:00:00;585,419174194336;541,833333333;8,04414165389653;;;;;;;;;;;;;;
2016-09-16 00:00:00;478,495941162109;442,5;8,13467596883828;"September";"West";0;15,9;1014,7;95;15,1;16;18;28,8;0;8;0;0
2016-09-16 01:00:00;411,940742492676;412,5;0,135577577533144;;;;;;;;;;;;;;
2016-09-16 02:00:00;381,515378952026;371,166666667;2,78815777773248;;;;;;;;;;;;;;
2016-09-16 03:00:00;394,260528564453;412;4,30569695037545;"September";"North";0;15,2;1015,4;92;13,9;40;21,6;32,4;0;8;3;0
2016-09-16 04:00:00;371,262159347534;407,166666667;8,81813524013994;;;;;;;;;;;;;;
2016-09-16 05:00:00;310,707067489624;341,833333333;9,10568479085509;;;;;;;;;;;;;;
2016-09-16 06:00:00;335,013519287109;328;2,13826807533822;"September";"North";0;15,1;1016,8;92;13,8;15;18;36;;8;6;0
2016-09-16 07:00:00;380,67317199707;425,666666667;10,5701240414787;;;;;;;;;;;;;;
2016-09-16 08:00:00;456,13794708252;461,833333333;1,23321246852787;;;;;;;;;;;;;;
2016-09-16 09:00:00;530,374450683594;499,166666667;6,25197676458889;"September";"North";0;16,4;1019;76;12,2;13;28,8;39,6;;6;9;0
2016-09-16 10:00:00;549,084690093994;506;8,51476088814113;;;;;;;;;;;;;;
2016-09-16 11:00:00;554,957734584808;536,666666667;3,40827352505535;;;;;;;;;;;;;;
2016-09-16 12:00:00;546,912963867188;524,833333333;4,20697946031149;"September";"North";0;16,6;1020,4;68;10,7;16;25,2;46,8;0;7;12;0
2016-09-16 13:00:00;503,770080566406;564,5;10,75817881906;;;;;;;;;;;;;;
2016-09-16 14:00:00;464,310905456543;572,666666667;18,9212621438406;;;;;;;;;;;;;;
2016-09-16 15:00:00;496,510986328125;520,833333333;4,669890624939;"September";"North";0;16,7;1021,1;70;11,2;19;28,8;50,4;0;8;15;0
2016-09-16 16:00:00;468,672252655029;442,166666667;5,99447854987018;;;;;;;;;;;;;;
2016-09-16 17:00:00;486,384914398193;386,666666667;25,7892019994243;;;;;;;;;;;;;;
2016-09-16 18:00:00;445,710052490234;447,833333333;0,474123001734393;"September";"North";0;14,5;1022,6;80;11,1;55;18;39,6;0;;18;1
2016-09-16 19:00:00;489,913318634033;488,166666667;0,357798286179309;;;;;;;;;;;;;;
2016-09-16 20:00:00;488,909737825394;493,5;0,930144310963794;;;;;;;;;;;;;;
2016-09-16 21:00:00;523,592895507812;511,333333333;2,39756757004312;"September";"North";0;13,3;1024,3;87;11,2;45;14,4;21,6;0;;21;1
2016-09-16 22:00:00;655,750473022461;616,5;6,36666229074792;;;;;;;;;;;;;;
2016-09-16 23:00:00;665,994493484497;560,5;18,8214974994642;;;;;;;;;;;;;;
2016-09-17 00:00:00;569,223693847656;461,333333333;23,386638839899;"September";"North";1;12,2;1024,3;94;11,3;19;7,2;14,4;;;0;0
2016-09-17 01:00:00;477,453750610352;397,666666667;20,063809876769;;;;;;;;;;;;;;
2016-09-17 02:00:00;415,105422973633;363,333333333;14,2491989836735;;;;;;;;;;;;;;
2016-09-17 03:00:00;389,876922607422;398,666666667;2,20478529922344;"September";"West";1;12,6;1024,5;95;11,8;19;10,8;18;0;;3;0
2016-09-17 04:00:00;380,617488861084;398,666666667;4,52738573726612;;;;;;;;;;;;;;
2016-09-17 05:00:00;317,961479187012;332,166666667;4,27652407826614;;;;;;;;;;;;;;
2016-09-17 06:00:00;315,779754638672;316;0,0696978991544699;"September";"North";1;12,3;1024,7;96;11,7;18;3,6;18;0;8;6;0
2016-09-17 07:00:00;377,366306304932;369,166666667;2,22112134661604;;;;;;;;;;;;;;
2016-09-17 08:00:00;454,751430511475;452,166666667;0,571639626495987;;;;;;;;;;;;;;
2016-09-17 09:00:00;520,242858886719;515,166666667;0,985349508841574;"September";"North";1;15,9;1025,3;79;12,3;35;18;28,8;0;7;9;0
2016-09-17 10:00:00;550,20894241333;510,833333333;7,70811270741059;;;;;;;;;;;;;;
2016-09-17 11:00:00;559,20393371582;534,833333333;4,55667193197297;;;;;;;;;;;;;;
2016-09-17 12:00:00;551,448425292969;524,5;5,13792665261559;"September";"North";1;17,3;1025;67;11,1;25;18;28,8;0;7;12;0
2016-09-17 13:00:00;512,452968597412;567,333333333;9,67338978888722;;;;;;;;;;;;;;
2016-09-17 14:00:00;474,772762298584;606,166666667;21,6762008856217;;;;;;;;;;;;;;
2016-09-17 15:00:00;490,000762939453;556,666666667;11,9759108492527;"September";"North";1;16,2;1024,1;71;10,9;40;18;32,4;0;;15;0
2016-09-17 16:00:00;460,442802429199;449;2,54850833612455;;;;;;;;;;;;;;
2016-09-17 17:00:00;451,975962638855;401,666666667;12,5251359265925;;;;;;;;;;;;;;
2016-09-17 18:00:00;432,752777099609;454;4,6800050441389;"September";"North";1;14,5;1024,2;82;11,5;55;7,2;21,6;0;;18;1
2016-09-17 19:00:00;466,227809906006;489,666666667;4,78669641136383;;;;;;;;;;;;;;
2016-09-17 20:00:00;479,41277217865;499,833333333;4,08547405555793;;;;;;;;;;;;;;
2016-09-17 21:00:00;517,837951660156;517,666666667;0,0330878930758882;"September";"West";1;12;1024,4;94;11,1;17;7,2;10,8;0;;21;1
2016-09-17 22:00:00;662,469589233398;628,666666667;5,37692299571271;;;;;;;;;;;;;;
2016-09-17 23:00:00;641,897493362427;571,333333333;12,3507864695685;;;;;;;;;;;;;;
2016-09-18 00:00:00;528,810119628906;473,666666667;11,6418268040536;"September";"West";1;9,8;1024,2;97;9,3;6;7,2;7,2;0;;0;0
