"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;487,075286865234;435;11,971330313847;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;0;FALSE
2016-09-13 01:00:00;419,221618652344;422,333333333;0,736791163534023;;;;;;;;;;;;;;
2016-09-13 02:00:00;375,53727722168;376,166666667;0,167316644746062;;;;;;;;;;;;;;
2016-09-13 03:00:00;380,710327148438;407,833333333;6,65051234603629;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;FALSE
2016-09-13 04:00:00;371,400484085083;399,5;7,0336710675637;;;;;;;;;;;;;;
2016-09-13 05:00:00;307,965484619141;346,333333333;11,0783008798546;;;;;;;;;;;;;;
2016-09-13 06:00:00;316,363311767578;313,833333333;0,806153510753317;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;FALSE
2016-09-13 07:00:00;377,610015869141;362,833333333;4,07258131451196;;;;;;;;;;;;;;
2016-09-13 08:00:00;466,937149047852;445,666666667;4,77273351851211;;;;;;;;;;;;;;
2016-09-13 09:00:00;495,700805664062;503,833333333;1,6141305330353;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;FALSE
2016-09-13 10:00:00;525,062602996826;513,833333333;2,1853914363607;;;;;;;;;;;;;;
2016-09-13 11:00:00;533,472705841064;545,5;2,20482019412201;;;;;;;;;;;;;;
2016-09-13 12:00:00;558,530700683594;555,666666667;0,515423038378897;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0;FALSE
2016-09-13 13:00:00;550,154831886292;576,5;4,56984702752966;;;;;;;;;;;;;;
2016-09-13 14:00:00;575,612924575806;588,5;2,18981740428111;;;;;;;;;;;;;;
2016-09-13 15:00:00;537,585632324219;563;4,5140972781139;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;FALSE
2016-09-13 16:00:00;458,217399597168;496,5;7,7104935353136;;;;;;;;;;;;;;
2016-09-13 17:00:00;387,003311157227;449,333333333;13,8716666563397;;;;;;;;;;;;;;
2016-09-13 18:00:00;489,772003173828;505,833333333;3,17522177776259;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;0;FALSE
2016-09-13 19:00:00;540,990074157715;561,166666667;3,59547238062485;;;;;;;;;;;;;;
2016-09-13 20:00:00;536,450527191162;542,333333333;1,08472147667638;;;;;;;;;;;;;;
2016-09-13 21:00:00;524,580627441406;512,833333333;2,29066508451359;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;FALSE
2016-09-13 22:00:00;630,136520385742;624,333333333;0,929501396595608;;;;;;;;;;;;;;
2016-09-13 23:00:00;550,932722091675;550,666666667;0,0483151497593254;;;;;;;;;;;;;;
2016-09-14 00:00:00;464,96435546875;467,166666667;0,471418736692496;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;0;FALSE
2016-09-14 01:00:00;402,676357269287;405,833333333;0,777899646090054;;;;;;;;;;;;;;
2016-09-14 02:00:00;365,744071960449;362,5;0,894916402882543;;;;;;;;;;;;;;
