"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;484,860687255859;435;11,46222695537;"September";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;415,828018188477;422,333333333;1,54032718497124;;;;;;;;;;;
2016-09-13 02:00:00;377,273330688477;376,166666667;0,294195131982871;;;;;;;;;;;
2016-09-13 03:00:00;381,980926513672;407,833333333;6,33896366637088;"September";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;371,231233596802;399,5;7,07603664660782;;;;;;;;;;;
2016-09-13 05:00:00;306,599189758301;346,333333333;11,4728037270657;;;;;;;;;;;
2016-09-13 06:00:00;327,759429931641;313,833333333;4,43741792840853;"September";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;396,817153930664;362,833333333;9,36623443207036;;;;;;;;;;;
2016-09-13 08:00:00;459,618194580078;445,666666667;3,13048494683643;;;;;;;;;;;
2016-09-13 09:00:00;508,502563476562;503,833333333;0,926741014270381;"September";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;537,01495552063;513,833333333;4,51150610203922;;;;;;;;;;;
2016-09-13 11:00:00;554,539417266846;545,5;1,65708840822103;;;;;;;;;;;
2016-09-13 12:00:00;553,0419921875;555,666666667;0,472346936922325;"September";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;540,179382324219;576,5;6,30019387264202;;;;;;;;;;;
2016-09-13 14:00:00;553,061184294522;588,5;6,02188881996231;;;;;;;;;;;
2016-09-13 15:00:00;512,484924316406;563;8,97248235943051;"September";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;438,010269165039;496,5;11,7804090302036;;;;;;;;;;;
2016-09-13 17:00:00;380,098907470703;449,333333333;15,4082550138757;;;;;;;;;;;
2016-09-13 18:00:00;513,80810546875;505,833333333;1,57656121299939;"September";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;558,977653503418;561,166666667;0,390082535832615;;;;;;;;;;;
2016-09-13 20:00:00;539,267518997192;542,333333333;0,565300738010364;;;;;;;;;;;
2016-09-13 21:00:00;516,014343261719;512,833333333;0,620281429064825;"September";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;630,071678161621;624,333333333;0,919115562513206;;;;;;;;;;;
2016-09-13 23:00:00;549,350231170654;550,666666667;0,239062136140109;;;;;;;;;;;
2016-09-14 00:00:00;504,480346679688;467,166666667;7,98723082682715;"September";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
2016-09-14 01:00:00;441,601154327393;405,833333333;8,81342611772205;;;;;;;;;;;
2016-09-14 02:00:00;400,159873962402;362,5;10,3889307482489;;;;;;;;;;;
2016-09-14 03:00:00;381,583618164062;396,666666667;3,80244920241803;"September";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3
2016-09-14 04:00:00;365,724315643311;407,833333333;10,3250554204472;;;;;;;;;;;
2016-09-14 05:00:00;306,411010742188;330,833333333;7,38206224408174;;;;;;;;;;;
2016-09-14 06:00:00;319,124450683594;317,166666667;0,617272942698374;"September";15,5;1004,6;94;14,5;45;18;36;100;0;6
2016-09-14 07:00:00;356,950740814209;384,833333333;7,24536834616245;;;;;;;;;;;
2016-09-14 08:00:00;429,769493103027;458,833333333;6,33429136868734;;;;;;;;;;;
2016-09-14 09:00:00;504,411529541016;478,333333333;5,45188770899662;"September";18;1005,9;82;14,9;29;28,8;46,8;130;0;9
2016-09-14 10:00:00;553,384540557861;504;9,79851995195661;;;;;;;;;;;
2016-09-14 11:00:00;561,486404418945;492,333333333;14,0459860025712;;;;;;;;;;;
2016-09-14 12:00:00;539,400695800781;519,5;3,83074028888956;"September";20,2;1007,2;65;13,4;7;32,4;54;140;0;12
2016-09-14 13:00:00;522,522052764893;543,333333333;3,83029703707734;;;;;;;;;;;
2016-09-14 14:00:00;528,176544189453;573;7,8225926370937;;;;;;;;;;;
2016-09-14 15:00:00;483,301330566406;539;10,3337049041918;"September";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15
2016-09-14 16:00:00;416,30158996582;438,833333333;5,13446487668746;;;;;;;;;;;
2016-09-14 17:00:00;372,072052001953;380,5;2,21496662235135;;;;;;;;;;;
2016-09-14 18:00:00;462,244506835938;426;8,50810019622946;"September";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18
2016-09-14 19:00:00;498,177406311035;480,5;3,67896073070451;;;;;;;;;;;
2016-09-14 20:00:00;498,673847198486;471,833333333;5,68855821946421;;;;;;;;;;;
2016-09-14 21:00:00;488,075988769531;477,166666667;2,2862707864178;"September";13,8;1010,5;89;12;60;3,6;10,8;50;0;21
2016-09-14 22:00:00;616,426773071289;607,166666667;1,52513418681592;;;;;;;;;;;
2016-09-14 23:00:00;609,574188232422;539,833333333;12,9189604630068;;;;;;;;;;;
2016-09-15 00:00:00;537,105102539062;445,333333333;20,6074332049696;"September";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0
2016-09-15 01:00:00;467,464790344238;393,166666667;18,8973608335333;;;;;;;;;;;
2016-09-15 02:00:00;415,004653930664;358,5;15,7614097435604;;;;;;;;;;;
2016-09-15 03:00:00;369,808349609375;383,833333333;3,65392541649253;"September";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;3
2016-09-15 04:00:00;352,052909851074;396,833333333;11,2844410286342;;;;;;;;;;;
2016-09-15 05:00:00;289,473472595215;316;8,39447069771682;;;;;;;;;;;
2016-09-15 06:00:00;336,600646972656;294;14,490015977094;"September";13,8;1010,1;92;12,5;4,6;7,2;18;20;;6
2016-09-15 07:00:00;386,926517486572;357,5;8,2311937025377;;;;;;;;;;;
2016-09-15 08:00:00;461,871269226074;459,166666667;0,589024150796132;;;;;;;;;;;
2016-09-15 09:00:00;544,40234375;503;8,23108225646123;"September";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;9
2016-09-15 10:00:00;557,669134140015;525,5;6,12162400380869;;;;;;;;;;;
2016-09-15 11:00:00;576,490703582764;593,666666667;2,89319984574284;;;;;;;;;;;
