487,6787109
424,089489
375,2105865
387,2719116
379,6991439
316,2419128
313,1813049
379,4985352
449,6833344
508,9675903
529,9563217
542,1911507
534,6704712
534,6095713
550,327836
578,6942139
507,7073212
470,9263458
499,8839417
560,4087524
549,5473747
512,2279053
620,5379181
573,9940758
467,8774719
404,3356857
355,3741226
391,690918
370,8592091
321,0750046
321,2437744
378,6767807
463,7787933
485,8227539
496,3761358
526,1489868
548,5117188
551,9583278
568,2711239
469,1916504
423,3552742
397,9170074
446,1581116
493,2379799
485,6691818
534,387146
662,4994202
644,7067337
518,3694458
446,5074234
377,689682
392,3496094
380,9969215
308,7187805
317,5720215
383,8402328
456,0800171
526,7998047
538,3939676
552,2273159
591,5847168
572,5299034
541,5314865
558,8395996
483,214592
458,2084885
494,3335876
537,6839714
543,175457
501,0394592
612,6700974
559,1822014
471,442627
399,6210022
367,5789719
388,818573
378,7518301
310,5195465
316,3120728
373,2257118
446,2514038
492,8916321
507,2616291
510,1578083
537,2828979
505,6690445
472,4736633
480,8627625
466,4263678
462,0201817
445,7495422
481,4210052
482,8514748
519,5192871
639,0978851
645,7437897
544,5387573
457,9313202
386,9728851
386,278656
369,8320255
321,8918381
315,6020813
353,71418
432,7230377
505,223053
539,9040337
542,2853661
541,2510986
520,600502
487,0466499
471,7341919
449,1120586
439,4561272
446,3545837
479,4677925
489,4568863
517,81073
652,4063416
642,5488663
532,1515503
462,1603622
381,0342407
383,2546692
371,453577
310,159935
319,877655
343,0135441
400,2185516
509,7122803
585,0397797
586,2464066
545,6575928
478,0515137
500,582695
500,8829346
467,1830902
435,5489655
419,1804504
455,4405556
445,8457623
460,8957214
590,2162018
586,7357635
514,2982788
447,4110413
370,526825
387,2498474
380,901752
297,4404373
299,1475525
364,8884201
427,9871368
496,1040955
518,6209526
502,939887
528,1548462
516,2733974
490,9080391
519,6796265
488,6362419
477,5087357
462,2693176
499,9295578
511,82201
498,9425659
615,8464966
610,9332657
477,6517029
419,6320152
370,9850235
382,572052
377,8182688
296,8512955
310,3562317
374,1173286
440,4794006
507,1152039
518,5572262
536,9731483
534,600769
520,002924
500,7032051
498,2634277
434,8919678
398,9378967
487,4294128
528,1321449
534,6750107
515,4428711
646,4234924
634,0585251
