"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-13 00:00:00;488,438293457031;435;12,2846651625359;"September";18,3;1009;97;17,8;9;12,964;20,372;180;0;0
2016-09-13 01:00:00;420,571273803711;422,333333333;0,417220093754642;;;;;;;;;;;
2016-09-13 02:00:00;381,113357543945;376,166666667;1,31502637402062;;;;;;;;;;;
2016-09-13 03:00:00;377,7861328125;407,833333333;7,367519539156;"September";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3
2016-09-13 04:00:00;366,009886741638;399,5;8,38300707343224;;;;;;;;;;;
2016-09-13 05:00:00;299,706062316895;346,333333333;13,4631196389269;;;;;;;;;;;
2016-09-13 06:00:00;324,906890869141;313,833333333;3,52848354842881;"September";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6
2016-09-13 07:00:00;392,667526245117;362,833333333;8,2225612068382;;;;;;;;;;;
2016-09-13 08:00:00;456,259246826172;445,666666667;2,37679435134568;;;;;;;;;;;
2016-09-13 09:00:00;501,460723876953;503,833333333;0,470911569179311;"September";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9
2016-09-13 10:00:00;529,640285491943;513,833333333;3,07628001796047;;;;;;;;;;;
2016-09-13 11:00:00;538,655261993408;545,5;1,25476407086926;;;;;;;;;;;
2016-09-13 12:00:00;551,789123535156;555,666666667;0,697818200091431;"September";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12
2016-09-13 13:00:00;537,925784111023;576,5;6,69110423052507;;;;;;;;;;;
2016-09-13 14:00:00;550,541839718819;588,5;6,44998475466123;;;;;;;;;;;
2016-09-13 15:00:00;519,713073730469;563;7,6886192308226;"September";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15
2016-09-13 16:00:00;444,891250610352;496,5;10,3945114581366;;;;;;;;;;;
2016-09-13 17:00:00;394,08203125;449,333333333;12,2962838463741;;;;;;;;;;;
2016-09-13 18:00:00;502,011993408203;505,833333333;0,755454350866434;"September";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18
2016-09-13 19:00:00;545,889572143555;561,166666667;2,7223809664573;;;;;;;;;;;
2016-09-13 20:00:00;523,938917160034;542,333333333;3,39171779464853;;;;;;;;;;;
2016-09-13 21:00:00;513,544311523438;512,833333333;0,138637281203364;"September";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21
2016-09-13 22:00:00;621,637031555176;624,333333333;0,431868944659749;;;;;;;;;;;
2016-09-13 23:00:00;552,37385559082;550,666666667;0,310022201662104;;;;;;;;;;;
2016-09-14 00:00:00;496,600830078125;467,166666667;6,30057012010788;"September";17,5;1005,5;97;17;9;12,964;24,076;110;3;0
