"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;492,894134521484;435;13,3089964417205;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;0;0
2016-09-13 01:00:00;416,13094329834;422,333333333;1,46860063962077;;;;;;;;;;;;;;
2016-09-13 02:00:00;368,55037689209;376,166666667;2,02471150418345;;;;;;;;;;;;;;
2016-09-13 03:00:00;413,063354492188;407,833333333;1,28239178402741;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;0
2016-09-13 04:00:00;413,038576941937;399,5;3,38888033590418;;;;;;;;;;;;;;
2016-09-13 05:00:00;370,811614990234;346,333333333;7,06783878457881;;;;;;;;;;;;;;
2016-09-13 06:00:00;368,956146240234;313,833333333;17,5643588658395;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;0
2016-09-13 07:00:00;416,170070648193;362,833333333;14,7000654061302;;;;;;;;;;;;;;
2016-09-13 08:00:00;493,913154602051;445,666666667;10,8256891402426;;;;;;;;;;;;;;
2016-09-13 09:00:00;537,46337890625;503,833333333;6,67483537676591;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;0
2016-09-13 10:00:00;564,178834915161;513,833333333;9,79802171563939;;;;;;;;;;;;;;
2016-09-13 11:00:00;568,104869842529;545,5;4,14388081439584;;;;;;;;;;;;;;
2016-09-13 12:00:00;557,103088378906;555,666666667;0,258504207301517;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0;0
2016-09-13 13:00:00;521,9557762146;576,5;9,46127038775375;;;;;;;;;;;;;;
2016-09-13 14:00:00;489,205657958984;588,5;16,8724455464767;;;;;;;;;;;;;;
2016-09-13 15:00:00;506,982055664062;563;9,94990130300844;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;0
2016-09-13 16:00:00;478,26124382019;496,5;3,67346549442287;;;;;;;;;;;;;;
2016-09-13 17:00:00;464,79891204834;449,333333333;3,44189437285267;;;;;;;;;;;;;;
2016-09-13 18:00:00;525,813171386719;505,833333333;3,94988561194042;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;1;0
2016-09-13 19:00:00;584,106964111328;561,166666667;4,08796509254194;;;;;;;;;;;;;;
2016-09-13 20:00:00;590,056831359863;542,333333333;8,79966159069931;;;;;;;;;;;;;;
2016-09-13 21:00:00;516,057189941406;512,833333333;0,628636322731551;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;0
2016-09-13 22:00:00;638,654685974121;624,333333333;2,2938632100046;;;;;;;;;;;;;;
2016-09-13 23:00:00;605,629341125488;550,666666667;9,98111521642646;;;;;;;;;;;;;;
2016-09-14 00:00:00;497,430816650391;467,166666667;6,47823403140257;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;0;0
2016-09-14 01:00:00;424,21573638916;405,833333333;4,52954490090561;;;;;;;;;;;;;;
2016-09-14 02:00:00;383,109565734863;362,5;5,68539744410022;;;;;;;;;;;;;;
2016-09-14 03:00:00;413,063354492188;396,666666667;4,13361877945556;"September";"East";"Wednesday";16,2;1004;97;15,7;2,9;12,964;0;;3;0;0
2016-09-14 04:00:00;410,916908502579;407,833333333;0,75608708694269;;;;;;;;;;;;;;
2016-09-14 05:00:00;372,064567565918;330,833333333;12,462841581751;;;;;;;;;;;;;;
2016-09-14 06:00:00;368,568176269531;317,166666667;16,2064665062986;"September";"East";"Wednesday";15,5;1004,6;94;14,5;45;36;0;7;6;0;0
2016-09-14 07:00:00;414,947216033936;384,833333333;7,8251752362828;;;;;;;;;;;;;;
