"dt_posix";"puissance";"reality";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour"
2016-09-13 00:00:00;522,253784179688;435;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;7;0
2016-09-13 01:00:00;453,399551391602;422,333333333;;;;;;;;;;;;;
2016-09-13 02:00:00;399,229881286621;376,166666667;;;;;;;;;;;;;
2016-09-13 03:00:00;400,975952148438;407,833333333;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;7;3
2016-09-13 04:00:00;387,541637420654;399,5;;;;;;;;;;;;;
2016-09-13 05:00:00;320,304397583008;346,333333333;;;;;;;;;;;;;
2016-09-13 06:00:00;342,885528564453;313,833333333;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;8;6
2016-09-13 07:00:00;412,017967224121;362,833333333;;;;;;;;;;;;;
2016-09-13 08:00:00;500,557846069336;445,666666667;;;;;;;;;;;;;
2016-09-13 09:00:00;537,7158203125;503,833333333;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;8;9
2016-09-13 10:00:00;564,956508636475;513,833333333;;;;;;;;;;;;;
2016-09-13 11:00:00;584,61506652832;545,5;;;;;;;;;;;;;
2016-09-13 12:00:00;591,760803222656;555,666666667;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;;12
2016-09-13 13:00:00;577,064754486084;576,5;;;;;;;;;;;;;
2016-09-13 14:00:00;589,285126209259;588,5;;;;;;;;;;;;;
2016-09-13 15:00:00;559,073486328125;563;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;8;15
2016-09-13 16:00:00;486,502784729004;496,5;;;;;;;;;;;;;
2016-09-13 17:00:00;422,116165161133;449,333333333;;;;;;;;;;;;;
2016-09-13 18:00:00;542,01416015625;505,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;8;18
2016-09-13 19:00:00;592,62703704834;561,166666667;;;;;;;;;;;;;
2016-09-13 20:00:00;576,917510986328;542,333333333;;;;;;;;;;;;;
2016-09-13 21:00:00;550,631469726562;512,833333333;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;8;21
2016-09-13 22:00:00;667,96410369873;624,333333333;;;;;;;;;;;;;
2016-09-13 23:00:00;586,485645294189;550,666666667;;;;;;;;;;;;;
2016-09-14 00:00:00;525,396789550781;467,166666667;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;8;0
2016-09-14 01:00:00;462,077079772949;405,833333333;;;;;;;;;;;;;
2016-09-14 02:00:00;413,764122009277;362,5;;;;;;;;;;;;;
2016-09-14 03:00:00;403,286376953125;396,666666667;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;;3
2016-09-14 04:00:00;383,760272979736;407,833333333;;;;;;;;;;;;;
2016-09-14 05:00:00;317,432647705078;330,833333333;;;;;;;;;;;;;
2016-09-14 06:00:00;340,570159912109;317,166666667;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6
2016-09-14 07:00:00;402,373687744141;384,833333333;;;;;;;;;;;;;
2016-09-14 08:00:00;483,260360717773;458,833333333;;;;;;;;;;;;;
2016-09-14 09:00:00;540,401123046875;478,333333333;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9
2016-09-14 10:00:00;557,893020629883;504;;;;;;;;;;;;;
2016-09-14 11:00:00;556,442754745483;492,333333333;;;;;;;;;;;;;
2016-09-14 12:00:00;598,917358398438;519,5;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12
2016-09-14 13:00:00;584,921262741089;543,333333333;;;;;;;;;;;;;
2016-09-14 14:00:00;600,77173769474;573;;;;;;;;;;;;;
2016-09-14 15:00:00;517,584228515625;539;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15
2016-09-14 16:00:00;448,403038024902;438,833333333;;;;;;;;;;;;;
2016-09-14 17:00:00;409,523452758789;380,5;;;;;;;;;;;;;
2016-09-14 18:00:00;514,222778320312;426;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;;18
2016-09-14 19:00:00;555,840785980225;480,5;;;;;;;;;;;;;
2016-09-14 20:00:00;553,949340820312;471,833333333;;;;;;;;;;;;;
2016-09-14 21:00:00;531,655334472656;477,166666667;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;;21
2016-09-14 22:00:00;669,776016235352;607,166666667;;;;;;;;;;;;;
2016-09-14 23:00:00;665,26806640625;539,833333333;;;;;;;;;;;;;
2016-09-15 00:00:00;560,994689941406;445,333333333;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;8;0
