"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend"
2016-09-13 00:00:00;497,479095458984;435;14,3630104503412;"September";"Tuesday";18,3;1009;97;17,8;9;12,964;20,372;180;0;0;0
2016-09-13 01:00:00;442,104461669922;422,333333333;4,68140371040351;;;;;;;;;;;;;
2016-09-13 02:00:00;380,148101806641;376,166666667;1,05842316516715;;;;;;;;;;;;;
2016-09-13 03:00:00;409,144287109375;407,833333333;0,321443508715019;"September";"Tuesday";17,1;1007,4;98;16,8;0,4;3,704;11,112;50;0;3;0
2016-09-13 04:00:00;408,474723875523;399,5;2,24648908023094;;;;;;;;;;;;;
2016-09-13 05:00:00;326,146430969238;346,333333333;5,82874947943632;;;;;;;;;;;;;
2016-09-13 06:00:00;340,85791015625;313,833333333;8,61112378861775;"September";"Tuesday";17,6;1008,1;99;17,4;5;5,556;14,816;160;0;6;0
2016-09-13 07:00:00;403,155555725098;362,833333333;11,1131527033904;;;;;;;;;;;;;
2016-09-13 08:00:00;502,422439575195;445,666666667;12,7350275784935;;;;;;;;;;;;;
2016-09-13 09:00:00;570,557983398438;503,833333333;13,2433973004595;"September";"Tuesday";20,1;1007,2;87;17,9;45;11,112;18,52;40;0;9;0
2016-09-13 10:00:00;569,216087698936;513,833333333;10,7783498603903;;;;;;;;;;;;;
2016-09-13 11:00:00;609,40697479248;545,5;11,7153024367517;;;;;;;;;;;;;
2016-09-13 12:00:00;572,801879882812;555,666666667;3,0837216345175;"September";"Tuesday";23,3;1005,8;76;18,8;40;14,816;25,928;10;0;12;0
2016-09-13 13:00:00;558,384540557861;576,5;3,14231733601712;;;;;;;;;;;;;
2016-09-13 14:00:00;577,517300128937;588,5;1,86621917945;;;;;;;;;;;;;
2016-09-13 15:00:00;520,695678710938;563;7,51408903890986;"September";"Tuesday";18,8;1005,1;93;17,6;5;14,816;29,632;10;0;15;0
2016-09-13 16:00:00;469,496356964111;496,5;5,4388002086382;;;;;;;;;;;;;
2016-09-13 17:00:00;431,372055053711;449,333333333;3,99731712447382;;;;;;;;;;;;;
2016-09-13 18:00:00;543,731750488281;505,833333333;7,49227357271293;"September";"Tuesday";17,2;1005,1;98;16,9;3,9;9,26;24,076;360;2;18;0
2016-09-13 19:00:00;610,215858459473;561,166666667;8,74057471798816;;;;;;;;;;;;;
2016-09-13 20:00:00;612,050148010254;542,333333333;12,8549750480572;;;;;;;;;;;;;
2016-09-13 21:00:00;557,638916015625;512,833333333;8,73687020136251;"September";"Tuesday";17,2;1005,1;98;16,9;3;12,964;25,928;60;0;21;0
2016-09-13 22:00:00;686,480422973633;624,333333333;9,95415210475162;;;;;;;;;;;;;
2016-09-13 23:00:00;634,717872619629;550,666666667;15,2635361899355;;;;;;;;;;;;;
2016-09-14 00:00:00;531,588256835938;467,166666667;13,789851623737;"September";"Wednesday";17,5;1005,5;97;17;9;12,964;24,076;110;3;0;0
2016-09-14 01:00:00;465,493293762207;405,833333333;14,7006062659358;;;;;;;;;;;;;
2016-09-14 02:00:00;414,625717163086;362,5;14,3795081829203;;;;;;;;;;;;;
2016-09-14 03:00:00;402,696502685547;396,666666667;1,52012672736348;"September";"Wednesday";16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3;0
2016-09-14 04:00:00;387,230773925781;407,833333333;5,05171052077701;;;;;;;;;;;;;
2016-09-14 05:00:00;307,208137512207;330,833333333;7,14111712468013;;;;;;;;;;;;;
2016-09-14 06:00:00;363,635925292969;317,166666667;14,6513689834745;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;6;0
2016-09-14 07:00:00;431,387321472168;384,833333333;12,0971818464812;;;;;;;;;;;;;
2016-09-14 08:00:00;502,153961181641;458,833333333;9,44147355946359;;;;;;;;;;;;;
2016-09-14 09:00:00;523,362548828125;478,333333333;9,41377327424872;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;9;0
2016-09-14 10:00:00;539,677263259888;504;7,07882207537454;;;;;;;;;;;;;
2016-09-14 11:00:00;535,683245658875;492,333333333;8,80499234784777;;;;;;;;;;;;;
2016-09-14 12:00:00;600,330505371094;519,5;15,5592888106051;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;12;0
2016-09-14 13:00:00;585,065435409546;543,333333333;7,68075498341806;;;;;;;;;;;;;
2016-09-14 14:00:00;585,425295829773;573;2,16846349559737;;;;;;;;;;;;;
2016-09-14 15:00:00;527,65869140625;539;2,1041388856679;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15;0
2016-09-14 16:00:00;443,60831451416;438,833333333;1,08810813091465;;;;;;;;;;;;;
2016-09-14 17:00:00;410,242706298828;380,5;7,81674278550016;;;;;;;;;;;;;
2016-09-14 18:00:00;524,347351074219;426;23,0862326465302;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18;0
2016-09-14 19:00:00;584,692779541016;480,5;21,6842413196703;;;;;;;;;;;;;
2016-09-14 20:00:00;576,724212646484;471,833333333;22,2304936729548;;;;;;;;;;;;;
2016-09-14 21:00:00;523,361633300781;477,166666667;9,68109674476052;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;21;0
2016-09-14 22:00:00;667,246353149414;607,166666667;9,89508973083411;;;;;;;;;;;;;
2016-09-14 23:00:00;700,160095214844;539,833333333;29,6993075421938;;;;;;;;;;;;;
2016-09-15 00:00:00;576,508361816406;445,333333333;29,4554704678528;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0;0
2016-09-15 01:00:00;506,565406799316;393,166666667;28,8424095291785;;;;;;;;;;;;;
2016-09-15 02:00:00;447,4296875;358,5;24,806049511855;;;;;;;;;;;;;
