"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening"
2016-09-13 00:00:00;490,398132324219;435;12,7352028331537;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;0
2016-09-13 01:00:00;429,327785491943;422,333333333;1,6561449468703;;;;;;;;;;;;;
2016-09-13 02:00:00;376,991065979004;376,166666667;0,219157991671199;;;;;;;;;;;;;
2016-09-13 03:00:00;381,604522705078;407,833333333;6,43125720341887;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0
2016-09-13 04:00:00;370,080917358398;399,5;7,36397562993781;;;;;;;;;;;;;
2016-09-13 05:00:00;306,929405212402;346,333333333;11,3774575901739;;;;;;;;;;;;;
2016-09-13 06:00:00;315,2607421875;313,833333333;0,454830224482697;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0
2016-09-13 07:00:00;373,300361633301;362,833333333;2,88480339007177;;;;;;;;;;;;;
2016-09-13 08:00:00;462,411437988281;445,666666667;3,7572411341665;;;;;;;;;;;;;
2016-09-13 09:00:00;501,522857666016;503,833333333;0,458579358316749;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0
2016-09-13 10:00:00;529,684587478638;513,833333333;3,08490187719389;;;;;;;;;;;;;
2016-09-13 11:00:00;541,276679992676;545,5;0,774210817108014;;;;;;;;;;;;;
2016-09-13 12:00:00;563,695190429688;555,666666667;1,44484530822125;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0
2016-09-13 13:00:00;557,199151992798;576,5;3,34793547392925;;;;;;;;;;;;;
2016-09-13 14:00:00;582,85071182251;588,5;0,959947014017032;;;;;;;;;;;;;
2016-09-13 15:00:00;535,880615234375;563;4,81694223190497;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0
2016-09-13 16:00:00;455,882392883301;496,5;8,18078693186288;;;;;;;;;;;;;
2016-09-13 17:00:00;383,207794189453;449,333333333;14,7163662782483;;;;;;;;;;;;;
2016-09-13 18:00:00;485,4638671875;505,833333333;4,02691258230908;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;0
2016-09-13 19:00:00;534,720718383789;561,166666667;4,71267269673808;;;;;;;;;;;;;
2016-09-13 20:00:00;532,027969360352;542,333333333;1,90019003798183;;;;;;;;;;;;;
2016-09-13 21:00:00;517,205627441406;512,833333333;0,852576036738846;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1
2016-09-13 22:00:00;621,082595825195;624,333333333;0,520673386194308;;;;;;;;;;;;;
2016-09-13 23:00:00;540,616552352905;550,666666667;1,82508129190471;;;;;;;;;;;;;
2016-09-14 00:00:00;463,440612792969;467,166666667;0,797585559906231;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;0
2016-09-14 01:00:00;401,486957550049;405,833333333;1,07097555226811;;;;;;;;;;;;;
2016-09-14 02:00:00;362,27555847168;362,5;0,0619149043642241;;;;;;;;;;;;;
2016-09-14 03:00:00;381,84375;396,666666667;3,73686974798006;"September";"East";"Wednesday";16,2;1004;97;15,7;2,9;12,964;0;;3;0
2016-09-14 04:00:00;366,31951713562;407,833333333;10,1791130847766;;;;;;;;;;;;;
2016-09-14 05:00:00;306,596649169922;330,833333333;7,32594987297809;;;;;;;;;;;;;
2016-09-14 06:00:00;318,609680175781;317,166666667;0,454970102610526;"September";"East";"Wednesday";15,5;1004,6;94;14,5;45;36;0;7;6;0
2016-09-14 07:00:00;370,926666259766;384,833333333;3,61368568382323;;;;;;;;;;;;;
2016-09-14 08:00:00;452,055145263672;458,833333333;1,47726583421715;;;;;;;;;;;;;
2016-09-14 09:00:00;508,079620361328;478,333333333;6,21873596411475;"September";"East";"Wednesday";18;1005,9;82;14,9;29;46,8;0;;9;0
2016-09-14 10:00:00;525,832256317139;504;4,33179688832116;;;;;;;;;;;;;
2016-09-14 11:00:00;505,837196826935;492,333333333;2,74282941650859;;;;;;;;;;;;;
2016-09-14 12:00:00;555,428344726562;519,5;6,91594701185034;"September";"South";"Wednesday";20,2;1007,2;65;13,4;7;54;0;7;12;0
2016-09-14 13:00:00;555,252673566341;543,333333333;2,19374360122982;;;;;;;;;;;;;
2016-09-14 14:00:00;563,021370410919;573;1,74147113247484;;;;;;;;;;;;;
2016-09-14 15:00:00;476,392608642578;539;11,6154714948835;"September";"South";"Wednesday";20,4;1007,9;62;12,9;28;46,8;0;;15;0
2016-09-14 16:00:00;403,838218688965;438,833333333;7,97457986571859;;;;;;;;;;;;;
2016-09-14 17:00:00;357,52904510498;380,5;6,03704465046505;;;;;;;;;;;;;
2016-09-14 18:00:00;469,622650146484;426;10,240058719832;"September";"East";"Wednesday";18,6;1009,3;63;11,4;45;43,2;0;;18;0
2016-09-14 19:00:00;515,820518493652;480,5;7,35078428587978;;;;;;;;;;;;;
2016-09-14 20:00:00;508,358539581299;471,833333333;7,74112460225884;;;;;;;;;;;;;
2016-09-14 21:00:00;528,208801269531;477,166666667;10,6969195813822;"September";"East";"Wednesday";13,8;1010,5;89;12;60;10,8;0;;21;1
2016-09-14 22:00:00;661,339889526367;607,166666667;8,92229857688787;;;;;;;;;;;;;
2016-09-14 23:00:00;667,847793579102;539,833333333;23,7137005704564;;;;;;;;;;;;;
2016-09-15 00:00:00;534,050842285156;445,333333333;19,9215963216069;"September";"North";"Thursday";13,4;1010,4;89;11,6;60;14,4;0;8;0;0
2016-09-15 01:00:00;477,409183502197;393,166666667;21,4266681225415;;;;;;;;;;;;;
2016-09-15 02:00:00;397,473999023438;358,5;10,8714083747385;;;;;;;;;;;;;
2016-09-15 03:00:00;376,451995849609;383,833333333;1,92305796354243;"September";"East";"Thursday";12,7;1009,8;94;11,8;60;7,2;0;7;3;0
2016-09-15 04:00:00;364,743651390076;396,833333333;8,0864381208613;;;;;;;;;;;;;
2016-09-15 05:00:00;309,426391601562;316;2,08025582229035;;;;;;;;;;;;;
2016-09-15 06:00:00;332,959259033203;294;13,2514486507494;"September";"North";"Thursday";13,8;1010,1;92;12,5;4,6;18;;8;6;0
2016-09-15 07:00:00;384,152496337891;357,5;7,4552437308785;;;;;;;;;;;;;
2016-09-15 08:00:00;472,949645996094;459,166666667;3,00173778491842;;;;;;;;;;;;;
2016-09-15 09:00:00;545,573669433594;503;8,46395018560512;"September";"West";"Thursday";14;1010,8;98;13,7;2,9;14,4;9;8;9;0
2016-09-15 10:00:00;566,608478546143;525,5;7,82273616482257;;;;;;;;;;;;;
2016-09-15 11:00:00;585,9358253479;593,666666667;1,30221920029678;;;;;;;;;;;;;
2016-09-15 12:00:00;588,0615234375;615,5;4,45791658204712;"September";"West";"Thursday";16,4;1011,4;95;15,6;2;14,4;0;8;12;0
2016-09-15 13:00:00;571,572103500366;625,333333333;8,59721159370935;;;;;;;;;;;;;
2016-09-15 14:00:00;551,841716766357;658;16,1334776950825;;;;;;;;;;;;;
2016-09-15 15:00:00;566,680969238281;613;7,55612247336358;"September";"North";"Thursday";16,3;1011,8;91;14,8;19;18;1;8;15;0
2016-09-15 16:00:00;504,947750091553;522;3,26671454184813;;;;;;;;;;;;;
2016-09-15 17:00:00;448,660606384277;437;2,66833098038383;;;;;;;;;;;;;
2016-09-15 18:00:00;523,782104492188;485,5;7,88508846389032;"September";"West";"Thursday";16,1;1012,8;94;15,1;18;10,8;;8;18;0
2016-09-15 19:00:00;573,468765258789;557;2,9566903516677;;;;;;;;;;;;;
2016-09-15 20:00:00;559,33402633667;533,166666667;4,90791366107914;;;;;;;;;;;;;
2016-09-15 21:00:00;504,169067382812;497,666666667;1,30657750485093;"September";"North";"Thursday";16,2;1014;96;15,6;10;25,2;0;8;21;1
2016-09-15 22:00:00;629,385841369629;616,5;2,09016080610363;;;;;;;;;;;;;
2016-09-15 23:00:00;551,442127227783;541,833333333;1,77338552349229;;;;;;;;;;;;;
2016-09-16 00:00:00;459,970520019531;442,5;3,94814011740819;"September";"West";"Friday";15,9;1014,7;95;15,1;16;28,8;0;8;0;0
2016-09-16 01:00:00;400,905601501465;412,5;2,81076327237216;;;;;;;;;;;;;
2016-09-16 02:00:00;342,025375366211;371,166666667;7,85126842409418;;;;;;;;;;;;;
2016-09-16 03:00:00;396,58251953125;412;3,74210690989078;"September";"North";"Friday";15,2;1015,4;92;13,9;40;32,4;0;8;3;0
2016-09-16 04:00:00;384,751320838928;407,166666667;5,50520159510113;;;;;;;;;;;;;
2016-09-16 05:00:00;322,785980224609;341,833333333;5,57211695029035;;;;;;;;;;;;;
2016-09-16 06:00:00;329,973449707031;328;0,601661496046113;"September";"North";"Friday";15,1;1016,8;92;13,8;15;36;;8;6;0
2016-09-16 07:00:00;392,903148651123;425,666666667;7,69698935376303;;;;;;;;;;;;;
2016-09-16 08:00:00;454,40372467041;461,833333333;1,60872074974995;;;;;;;;;;;;;
2016-09-16 09:00:00;510,806243896484;499,166666667;2,33180178219898;"September";"North";"Friday";16,4;1019;76;12,2;13;39,6;;6;9;0
2016-09-16 10:00:00;530,559988021851;506;4,85375257348826;;;;;;;;;;;;;
2016-09-16 11:00:00;544,514446258545;536,666666667;1,46231917854784;;;;;;;;;;;;;
2016-09-16 12:00:00;547,488647460938;524,833333333;4,31666830002258;"September";"North";"Friday";16,6;1020,4;68;10,7;16;46,8;0;7;12;0
2016-09-16 13:00:00;506,776802062988;564,5;10,2255443643953;;;;;;;;;;;;;
2016-09-16 14:00:00;478,116859436035;572,666666667;16,5104436375279;;;;;;;;;;;;;
2016-09-16 15:00:00;484,431030273438;520,833333333;6,98924218744048;"September";"North";"Friday";16,7;1021,1;70;11,2;19;50,4;0;8;15;0
2016-09-16 16:00:00;455,894750595093;442,166666667;3,10473062828852;;;;;;;;;;;;;
2016-09-16 17:00:00;476,35262298584;386,666666667;23,194643875542;;;;;;;;;;;;;
2016-09-16 18:00:00;445,648223876953;447,833333333;0,487929167707142;"September";"North";"Friday";14,5;1022,6;80;11,1;55;39,6;0;;18;0
2016-09-16 19:00:00;486,036586761475;488,166666667;0,436342759752261;;;;;;;;;;;;;
2016-09-16 20:00:00;494,192150115967;493,5;0,140253316305329;;;;;;;;;;;;;
2016-09-16 21:00:00;515,546752929688;511,333333333;0,82400644003069;"September";"North";"Friday";13,3;1024,3;87;11,2;45;21,6;0;;21;1
2016-09-16 22:00:00;641,187492370605;616,5;4,00445942751102;;;;;;;;;;;;;
2016-09-16 23:00:00;666,969635009766;560,5;18,9954745780135;;;;;;;;;;;;;
2016-09-17 00:00:00;545,75537109375;461,333333333;18,2995746591353;"September";"North";"Saturday";12,2;1024,3;94;11,3;19;14,4;;;0;0
2016-09-17 01:00:00;450,796775817871;397,666666667;13,3604633237619;;;;;;;;;;;;;
2016-09-17 02:00:00;397,867492675781;363,333333333;9,50481449802191;;;;;;;;;;;;;
2016-09-17 03:00:00;389,3486328125;398,666666667;2,33729946182915;"September";"West";"Saturday";12,6;1024,5;95;11,8;19;18;0;;3;0
2016-09-17 04:00:00;381,142234802246;398,666666667;4,39576050118878;;;;;;;;;;;;;
2016-09-17 05:00:00;334,990993499756;332,166666667;0,850274008856902;;;;;;;;;;;;;
2016-09-17 06:00:00;326,808471679688;316;3,42040243028085;"September";"North";"Saturday";12,3;1024,7;96;11,7;18;18;0;8;6;0
2016-09-17 07:00:00;375,186374664307;369,166666667;1,63062067646985;;;;;;;;;;;;;
2016-09-17 08:00:00;448,734733581543;452,166666667;0,758997365010214;;;;;;;;;;;;;
2016-09-17 09:00:00;507,334808349609;515,166666667;1,52025719522203;"September";"North";"Saturday";15,9;1025,3;79;12,3;35;28,8;0;7;9;0
2016-09-17 10:00:00;535,950063705444;510,833333333;4,91681508106899;;;;;;;;;;;;;
2016-09-17 11:00:00;554,150207519531;534,833333333;3,61175584665813;;;;;;;;;;;;;
2016-09-17 12:00:00;551,678955078125;524,5;5,18187894721163;"September";"North";"Saturday";17,3;1025;67;11,1;25;28,8;0;7;12;0
2016-09-17 13:00:00;512,996532440186;567,333333333;9,57757947582487;;;;;;;;;;;;;
2016-09-17 14:00:00;503,913864135742;606,166666667;16,868760384581;;;;;;;;;;;;;
2016-09-17 15:00:00;503,270751953125;556,666666667;9,59208048751671;"September";"North";"Saturday";16,2;1024,1;71;10,9;40;32,4;0;;15;0
2016-09-17 16:00:00;473,336837768555;449;5,42023112885405;;;;;;;;;;;;;
2016-09-17 17:00:00;454,157093048096;401,666666667;13,0681559454902;;;;;;;;;;;;;
2016-09-17 18:00:00;462,952026367188;454;1,97181197515143;"September";"North";"Saturday";14,5;1024,2;82;11,5;55;21,6;0;;18;0
2016-09-17 19:00:00;505,522258758545;489,666666667;3,23803786756993;;;;;;;;;;;;;
2016-09-17 20:00:00;499,215766906738;499,833333333;0,123554470075782;;;;;;;;;;;;;
2016-09-17 21:00:00;518,522644042969;517,666666667;0,165353002440742;"September";"West";"Saturday";12;1024,4;94;11,1;17;10,8;0;;21;1
2016-09-17 22:00:00;658,613677978516;628,666666667;4,76357550023857;;;;;;;;;;;;;
2016-09-17 23:00:00;666,564926147461;571,333333333;16,6683067936727;;;;;;;;;;;;;
2016-09-18 00:00:00;513,242004394531;473,666666667;8,35510296850881;"September";"West";"Sunday";9,8;1024,2;97;9,3;6;7,2;0;;0;0
2016-09-18 01:00:00;434,330276489258;430,833333333;0,811669591395095;;;;;;;;;;;;;
2016-09-18 02:00:00;354,61213684082;390,166666667;9,11265181362221;;;;;;;;;;;;;
2016-09-18 03:00:00;378,87744140625;418,5;9,46775593637993;"September";"West";"Sunday";10,1;1023,7;98;9,8;0,6;10,8;0;;3;0
2016-09-18 04:00:00;371,717064857483;412,666666667;9,92316683590081;;;;;;;;;;;;;
2016-09-18 05:00:00;301,14631652832;348;13,4637021470344;;;;;;;;;;;;;
2016-09-18 06:00:00;311,756622314453;311,5;0,0823827654745185;"September";"North";"Sunday";10,4;1023,4;99;10,2;0,3;10,8;0;;6;0
2016-09-18 07:00:00;337,8655128479;359,833333333;6,10499874528577;;;;;;;;;;;;;
2016-09-18 08:00:00;401,789627075195;434,333333333;7,49279499412809;;;;;;;;;;;;;
2016-09-18 09:00:00;507,773132324219;515;1,40327527685073;"September";"North";"Sunday";15,2;1023,5;79;11,6;18;18;0;;9;0
2016-09-18 10:00:00;584,341552734375;553;5,66755022321429;;;;;;;;;;;;;
2016-09-18 11:00:00;588,392776489258;582,333333333;1,04054547617537;;;;;;;;;;;;;
2016-09-18 12:00:00;558,177917480469;581,333333333;3,98315639665331;"September";"West";"Sunday";18;1023,2;63;10,8;35;25,2;0;7;12;0
2016-09-18 13:00:00;493,135444641113;582;15,2688239448259;;;;;;;;;;;;;
2016-09-18 14:00:00;479,321464538574;572,166666667;16,2269505613233;;;;;;;;;;;;;
2016-09-18 15:00:00;491,210418701172;547,333333333;10,2538820886472;"September";"West";"Sunday";17,7;1023,2;62;10,3;50;25,2;0;8;15;0
2016-09-18 16:00:00;458,595989227295;451,333333333;1,60915566343434;;;;;;;;;;;;;
2016-09-18 17:00:00;469,687574386597;378,166666667;24,2012096217319;;;;;;;;;;;;;
2016-09-18 18:00:00;467,948425292969;400,166666667;16,9383819973125;"September";"North";"Sunday";15,7;1023,5;75;11,3;55;14,4;0;8;18;0
2016-09-18 19:00:00;517,168685913086;445,166666667;16,1741713019915;;;;;;;;;;;;;
2016-09-18 20:00:00;500,490756988525;453,833333333;10,2807396964142;;;;;;;;;;;;;
2016-09-18 21:00:00;468,059204101562;450,5;3,89771456194506;"September";"North";"Sunday";14,2;1023,5;86;11,9;35;3,6;0;8;21;1
2016-09-18 22:00:00;607,096984863281;580,166666667;4,64182445209983;;;;;;;;;;;;;
2016-09-18 23:00:00;614,395111083984;527;16,5835125396555;;;;;;;;;;;;;
2016-09-19 00:00:00;520,185607910156;453,833333333;14,6204057092629;"September";"West";"Monday";13,3;1023,3;93;12,2;14;7,2;0;8;0;0
2016-09-19 01:00:00;447,612007141113;406,166666667;10,204023095793;;;;;;;;;;;;;
2016-09-19 02:00:00;381,467956542969;370,166666667;3,05302743159619;;;;;;;;;;;;;
2016-09-19 03:00:00;376,804870605469;391,166666667;3,67152860541603;"September";"South";"Monday";13,6;1023;96;13;22;3,6;0;8;3;0
2016-09-19 04:00:00;367,305918693542;402,333333333;8,70606826167851;;;;;;;;;;;;;
2016-09-19 05:00:00;310,03092956543;317,5;2,35246312899852;;;;;;;;;;;;;
2016-09-19 06:00:00;305,775238037109;304,166666667;0,528845381953182;"September";"South";"Monday";14,4;1022,9;95;13,6;16;10,8;0;8;6;0
2016-09-19 07:00:00;357,015293121338;350,333333333;1,90731487773861;;;;;;;;;;;;;
2016-09-19 08:00:00;437,150192260742;407,5;7,27612080018213;;;;;;;;;;;;;
2016-09-19 09:00:00;501,201019287109;476,166666667;5,25747692406549;"September";"South";"Monday";15,7;1023,1;93;14,6;19;14,4;;8;9;0
