"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;515,273681640625;435;18,4537199173851;"September";"South";"Tuesday";18,3;1009;97;17,8;9;20,372;0;7;0;0;0
2016-09-13 01:00:00;453,078296661377;422,333333333;7,27978610775089;;;;;;;;;;;;;;
2016-09-13 02:00:00;403,399536132812;376,166666667;7,23957540074125;;;;;;;;;;;;;;
2016-09-13 03:00:00;379,647308349609;407,833333333;6,91116264407364;"September";"East";"Tuesday";17,1;1007,4;98;16,8;0,4;11,112;0;7;3;0;0
2016-09-13 04:00:00;365,48952960968;399,5;8,51325917154439;;;;;;;;;;;;;;
2016-09-13 05:00:00;301,666168212891;346,333333333;12,8971602849333;;;;;;;;;;;;;;
2016-09-13 06:00:00;326,231750488281;313,833333333;3,95063743663126;"September";"South";"Tuesday";17,6;1008,1;99;17,4;5;14,816;0;8;6;0;0
2016-09-13 07:00:00;390,444046020508;362,833333333;7,60975085554429;;;;;;;;;;;;;;
2016-09-13 08:00:00;472,687469482422;445,666666667;6,06300736321653;;;;;;;;;;;;;;
2016-09-13 09:00:00;495,675079345703;503,833333333;1,61923664981189;"September";"North";"Tuesday";20,1;1007,2;87;17,9;45;18,52;0;8;9;0;0
2016-09-13 10:00:00;517,665386199951;513,833333333;0,745777398693535;;;;;;;;;;;;;;
2016-09-13 11:00:00;537,581890106201;545,5;1,45153251948649;;;;;;;;;;;;;;
2016-09-13 12:00:00;557,471069335938;555,666666667;0,324727534901582;"September";"North";"Tuesday";23,3;1005,8;76;18,8;40;25,928;0;;12;0;0
2016-09-13 13:00:00;558,619015574455;576,5;3,10164517355503;;;;;;;;;;;;;;
2016-09-13 14:00:00;568,455274581909;588,5;3,40607058931025;;;;;;;;;;;;;;
2016-09-13 15:00:00;521,257995605469;563;7,41421037203042;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;0
2016-09-13 16:00:00;451,701042175293;496,5;9,02295223055529;;;;;;;;;;;;;;
2016-09-13 17:00:00;383,266098022461;449,333333333;14,703390647757;;;;;;;;;;;;;;
2016-09-13 18:00:00;502,2060546875;505,833333333;0,717089682801129;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;1;0
2016-09-13 19:00:00;555,063953399658;561,166666667;1,08750459174425;;;;;;;;;;;;;;
2016-09-13 20:00:00;556,399784088135;542,333333333;2,59369098128028;;;;;;;;;;;;;;
2016-09-13 21:00:00;510,993682861328;512,833333333;0,358722873904409;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;0
2016-09-13 22:00:00;626,06143951416;624,333333333;0,276792234035404;;;;;;;;;;;;;;
2016-09-13 23:00:00;548,208736419678;550,666666667;0,44635537178948;;;;;;;;;;;;;;
2016-09-14 00:00:00;492,726959228516;467,166666667;5,47134339525452;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;0;0
2016-09-14 01:00:00;430,050800323486;405,833333333;5,96734299560729;;;;;;;;;;;;;;
2016-09-14 02:00:00;386,287643432617;362,5;6,56210853313578;;;;;;;;;;;;;;
2016-09-14 03:00:00;388,059753417969;396,666666667;2,16981006277917;"September";"East";"Wednesday";16,2;1004;97;15,7;2,9;12,964;0;;3;0;0
2016-09-14 04:00:00;367,777328491211;407,833333333;9,82166036170538;;;;;;;;;;;;;;
2016-09-14 05:00:00;309,60050201416;330,833333333;6,41798427774143;;;;;;;;;;;;;;
2016-09-14 06:00:00;318,572967529297;317,166666667;0,443394911916568;"September";"East";"Wednesday";15,5;1004,6;94;14,5;45;36;0;7;6;0;0
2016-09-14 07:00:00;378,173892974854;384,833333333;1,73047389124787;;;;;;;;;;;;;;
2016-09-14 08:00:00;453,591094970703;458,833333333;1,14251471753738;;;;;;;;;;;;;;
2016-09-14 09:00:00;505,13134765625;478,333333333;5,60237233239067;"September";"East";"Wednesday";18;1005,9;82;14,9;29;46,8;0;;9;0;0
2016-09-14 10:00:00;517,886437416077;504;2,75524551906283;;;;;;;;;;;;;;
2016-09-14 11:00:00;530,791986465454;492,333333333;7,81150706820856;;;;;;;;;;;;;;
2016-09-14 12:00:00;556,402526855469;519,5;7,10347003955125;"September";"South";"Wednesday";20,2;1007,2;65;13,4;7;54;0;7;12;0;0
2016-09-14 13:00:00;550,644766330719;543,333333333;1,34566251491842;;;;;;;;;;;;;;
2016-09-14 14:00:00;579,633371353149;573;1,15765643161421;;;;;;;;;;;;;;
2016-09-14 15:00:00;461,932342529297;539;14,2982666921527;"September";"South";"Wednesday";20,4;1007,9;62;12,9;28;46,8;0;;15;0;0
2016-09-14 16:00:00;404,284637451172;438,833333333;7,87285132134926;;;;;;;;;;;;;;
2016-09-14 17:00:00;339,166648864746;380,5;10,8629043719458;;;;;;;;;;;;;;
2016-09-14 18:00:00;457,457611083984;426;7,38441574741417;"September";"East";"Wednesday";18,6;1009,3;63;11,4;45;43,2;0;;18;1;0
2016-09-14 19:00:00;498,697834014893;480,5;3,78727034649169;;;;;;;;;;;;;;
2016-09-14 20:00:00;486,052936553955;471,833333333;3,0136919578167;;;;;;;;;;;;;;
2016-09-14 21:00:00;529,268798828125;477,166666667;10,9190636732983;"September";"East";"Wednesday";13,8;1010,5;89;12;60;10,8;0;;21;1;0
2016-09-14 22:00:00;663,274597167969;607,166666667;9,24094381020115;;;;;;;;;;;;;;
2016-09-14 23:00:00;643,354179382324;539,833333333;19,1764457022639;;;;;;;;;;;;;;
2016-09-15 00:00:00;524,765686035156;445,333333333;17,8366061457071;"September";"North";"Thursday";13,4;1010,4;89;11,6;60;14,4;0;8;0;0;0
2016-09-15 01:00:00;462,912094116211;393,166666667;17,7394050315774;;;;;;;;;;;;;;
2016-09-15 02:00:00;394,1103515625;358,5;9,933152458159;;;;;;;;;;;;;;
2016-09-15 03:00:00;380,399932861328;383,833333333;0,894502945290884;"September";"East";"Thursday";12,7;1009,8;94;11,8;60;7,2;0;7;3;0;0
2016-09-15 04:00:00;365,747911453247;396,833333333;7,83336964631139;;;;;;;;;;;;;;
2016-09-15 05:00:00;305,866333007812;316;3,20685664309731;;;;;;;;;;;;;;
2016-09-15 06:00:00;321,177764892578;294;9,24413771856399;"September";"North";"Thursday";13,8;1010,1;92;12,5;4,6;18;;8;6;0;0
2016-09-15 07:00:00;375,996677398682;357,5;5,173895775855;;;;;;;;;;;;;;
2016-09-15 08:00:00;464,422058105469;459,166666667;1,14454985955679;;;;;;;;;;;;;;
2016-09-15 09:00:00;544,529479980469;503;8,25635784899975;"September";"West";"Thursday";14;1010,8;98;13,7;2,9;14,4;9;8;9;0;0
2016-09-15 10:00:00;570,696218490601;525,5;8,60061246253104;;;;;;;;;;;;;;
2016-09-15 11:00:00;598,978057861328;593,666666667;0,894675664400649;;;;;;;;;;;;;;
2016-09-15 12:00:00;581,573913574219;615,5;5,51195555252336;"September";"West";"Thursday";16,4;1011,4;95;15,6;2;14,4;0;8;12;0;0
2016-09-15 13:00:00;555,355813980103;625,333333333;11,1904348645418;;;;;;;;;;;;;;
2016-09-15 14:00:00;551,259572982788;658;16,2219493947131;;;;;;;;;;;;;;
2016-09-15 15:00:00;525,838745117188;613;14,2188017753365;"September";"North";"Thursday";16,3;1011,8;91;14,8;19;18;1;8;15;0;0
2016-09-15 16:00:00;468,654796600342;522;10,2193876244556;;;;;;;;;;;;;;
2016-09-15 17:00:00;416,309585571289;437;4,734648610689;;;;;;;;;;;;;;
2016-09-15 18:00:00;497,203247070312;485,5;2,41055552426622;"September";"West";"Thursday";16,1;1012,8;94;15,1;18;10,8;;8;18;1;0
2016-09-15 19:00:00;541,63005065918;557;2,75941639871101;;;;;;;;;;;;;;
2016-09-15 20:00:00;533,945697784424;533,166666667;0,146113995140366;;;;;;;;;;;;;;
2016-09-15 21:00:00;510,478149414062;497,666666667;2,57430999605906;"September";"North";"Thursday";16,2;1014;96;15,6;10;25,2;0;8;21;1;0
2016-09-15 22:00:00;629,762756347656;616,5;2,15129867764092;;;;;;;;;;;;;;
2016-09-15 23:00:00;566,41329574585;541,833333333;4,53644338594857;;;;;;;;;;;;;;
2016-09-16 00:00:00;478,070220947266;442,5;8,0384680106815;"September";"West";"Friday";15,9;1014,7;95;15,1;16;28,8;0;8;0;0;0
2016-09-16 01:00:00;413,046157836914;412,5;0,132401899857955;;;;;;;;;;;;;;
2016-09-16 02:00:00;372,021423339844;371,166666667;0,23028917993075;;;;;;;;;;;;;;
2016-09-16 03:00:00;380,256439208984;412;7,70474776480962;"September";"North";"Friday";15,2;1015,4;92;13,9;40;32,4;0;8;3;0;0
2016-09-16 04:00:00;368,019281387329;407,166666667;9,61458500523263;;;;;;;;;;;;;;
2016-09-16 05:00:00;318,088397979736;341,833333333;6,94634871378454;;;;;;;;;;;;;;
2016-09-16 06:00:00;322,884002685547;328;1,55975527879668;"September";"North";"Friday";15,1;1016,8;92;13,8;15;36;;8;6;0;0
2016-09-16 07:00:00;386,982246398926;425,666666667;9,08796090870257;;;;;;;;;;;;;;
2016-09-16 08:00:00;446,823928833008;461,833333333;3,24996127751779;;;;;;;;;;;;;;
2016-09-16 09:00:00;508,966857910156;499,166666667;1,96331043268441;"September";"North";"Friday";16,4;1019;76;12,2;13;39,6;;6;9;0;0
2016-09-16 10:00:00;525,774576187134;506;3,90801900931498;;;;;;;;;;;;;;
2016-09-16 11:00:00;538,032821655273;536,666666667;0,254563041293037;;;;;;;;;;;;;;
2016-09-16 12:00:00;542,918090820312;524,833333333;3,445809619687;"September";"North";"Friday";16,6;1020,4;68;10,7;16;46,8;0;7;12;0;0
2016-09-16 13:00:00;510,060104370117;564,5;9,64391419484195;;;;;;;;;;;;;;
2016-09-16 14:00:00;472,258964538574;572,666666667;17,53335892812;;;;;;;;;;;;;;
2016-09-16 15:00:00;482,800476074219;520,833333333;7,30230859369068;"September";"North";"Friday";16,7;1021,1;70;11,2;19;50,4;0;8;15;0;0
2016-09-16 16:00:00;462,495107650757;442,166666667;4,59746121004331;;;;;;;;;;;;;;
2016-09-16 17:00:00;468,00784778595;386,666666667;21,0365123583309;;;;;;;;;;;;;;
2016-09-16 18:00:00;438,621490478516;447,833333333;2,05698016847589;"September";"North";"Friday";14,5;1022,6;80;11,1;55;39,6;0;;18;1;0
2016-09-16 19:00:00;478,829822540283;488,166666667;1,91263450871501;;;;;;;;;;;;;;
2016-09-16 20:00:00;480,411437988281;493,5;2,65219088383359;;;;;;;;;;;;;;
2016-09-16 21:00:00;504,303192138672;511,333333333;1,3748646403519;"September";"North";"Friday";13,3;1024,3;87;11,2;45;21,6;0;;21;1;0
2016-09-16 22:00:00;638,416702270508;616,5;3,5550206440402;;;;;;;;;;;;;;
