"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-13 00:00:00;500,464080810547;435;15,0492139794361;"September";"South";"Tuesday";18,3;1009;97;9;20,372;0;7;0;0;FALSE
2016-09-13 01:00:00;436,452224731445;422,333333333;3,34306820800074;;;;;;;;;;;;;
2016-09-13 02:00:00;382,344230651855;376,166666667;1,64224120111209;;;;;;;;;;;;;
2016-09-13 03:00:00;380,923767089844;407,833333333;6,59817725619409;"September";"East";"Tuesday";17,1;1007,4;98;0,4;11,112;0;7;3;0;FALSE
2016-09-13 04:00:00;371,772004127502;399,5;6,94067481163894;;;;;;;;;;;;;
2016-09-13 05:00:00;305,434791564941;346,333333333;11,8090110976221;;;;;;;;;;;;;
2016-09-13 06:00:00;325,168090820312;313,833333333;3,61171242293932;"September";"South";"Tuesday";17,6;1008,1;99;5;14,816;0;8;6;0;FALSE
2016-09-13 07:00:00;386,57931137085;362,833333333;6,54459661126452;;;;;;;;;;;;;
2016-09-13 08:00:00;475,151321411133;445,666666667;6,61585371969575;;;;;;;;;;;;;
2016-09-13 09:00:00;488,531768798828;503,833333333;3,03702901770069;"September";"North";"Tuesday";20,1;1007,2;87;45;18,52;0;8;9;0;FALSE
2016-09-13 10:00:00;520,083078384399;513,833333333;1,21629809628351;;;;;;;;;;;;;
2016-09-13 11:00:00;524,910762786865;545,5;3,77437895749492;;;;;;;;;;;;;
2016-09-13 12:00:00;554,565856933594;555,666666667;0,198106130786841;"September";"North";"Tuesday";23,3;1005,8;76;40;25,928;0;;12;0;FALSE
2016-09-13 13:00:00;548,703632354736;576,5;4,82157287862336;;;;;;;;;;;;;
2016-09-13 14:00:00;581,557552337646;588,5;1,17968524424019;;;;;;;;;;;;;
2016-09-13 15:00:00;540,959106445312;563;3,9149011642429;"September";"North";"Tuesday";18,8;1005,1;93;5;29,632;0;8;15;0;FALSE
2016-09-13 16:00:00;467,852569580078;496,5;5,76987521045758;;;;;;;;;;;;;
2016-09-13 17:00:00;406,424072265625;449,333333333;9,5495388132211;;;;;;;;;;;;;
2016-09-13 18:00:00;489,768920898438;505,833333333;3,17583112380357;"September";"North";"Tuesday";17,2;1005,1;98;3,9;24,076;2;8;18;0;FALSE
2016-09-13 19:00:00;539,995956420898;561,166666667;3,77262433847739;;;;;;;;;;;;;
2016-09-13 20:00:00;541,539402008057;542,333333333;0,146391762435874;;;;;;;;;;;;;
2016-09-13 21:00:00;515,450744628906;512,833333333;0,510382443140964;"September";"East";"Tuesday";17,2;1005,1;98;3;25,928;0;8;21;1;FALSE
2016-09-13 22:00:00;627,759399414062;624,333333333;0,548755912610404;;;;;;;;;;;;;
2016-09-13 23:00:00;570,724369049072;550,666666667;3,64243989988986;;;;;;;;;;;;;
2016-09-14 00:00:00;473,622375488281;467,166666667;1,38188558429039;"September";"East";"Wednesday";17,5;1005,5;97;9;24,076;3;8;0;0;FALSE
2016-09-14 01:00:00;412,749389648438;405,833333333;1,70416172043775;;;;;;;;;;;;;
2016-09-14 02:00:00;375,412910461426;362,5;3,56218219625539;;;;;;;;;;;;;
2016-09-14 03:00:00;382,821594238281;396,666666667;3,49035439379171;"September";"East";"Wednesday";16,2;1004;97;2,9;12,964;0;;3;0;FALSE
2016-09-14 04:00:00;368,007914543152;407,833333333;9,76512107639085;;;;;;;;;;;;;
2016-09-14 05:00:00;306,653907775879;330,833333333;7,30864248578704;;;;;;;;;;;;;
2016-09-14 06:00:00;313,517730712891;317,166666667;1,15047901863549;"September";"East";"Wednesday";15,5;1004,6;94;45;36;0;7;6;0;FALSE
2016-09-14 07:00:00;372,233726501465;384,833333333;3,27404248546021;;;;;;;;;;;;;
2016-09-14 08:00:00;454,737350463867;458,833333333;0,892695140385566;;;;;;;;;;;;;
2016-09-14 09:00:00;503,930908203125;478,333333333;5,35140938051767;"September";"East";"Wednesday";18;1005,9;82;29;46,8;0;;9;0;FALSE
2016-09-14 10:00:00;517,894245147705;504;2,75679467216371;;;;;;;;;;;;;
2016-09-14 11:00:00;500,687460184097;492,333333333;1,69684363935741;;;;;;;;;;;;;
2016-09-14 12:00:00;558,815490722656;519,5;7,5679481660551;"September";"South";"Wednesday";20,2;1007,2;65;7;54;0;7;12;0;FALSE
2016-09-14 13:00:00;557,744572281837;543,333333333;2,65237526665882;;;;;;;;;;;;;
2016-09-14 14:00:00;583,281614303589;573;1,79434804600155;;;;;;;;;;;;;
2016-09-14 15:00:00;463,650360107422;539;13,9795250264523;"September";"South";"Wednesday";20,4;1007,9;62;28;46,8;0;;15;0;FALSE
2016-09-14 16:00:00;400,305187225342;438,833333333;8,77967628735757;;;;;;;;;;;;;
2016-09-14 17:00:00;364,57103729248;380,5;4,18632397043877;;;;;;;;;;;;;
2016-09-14 18:00:00;458,840942382812;426;7,70914140441608;"September";"East";"Wednesday";18,6;1009,3;63;45;43,2;0;;18;0;FALSE
2016-09-14 19:00:00;504,539882659912;480,5;5,00309732776527;;;;;;;;;;;;;
2016-09-14 20:00:00;505,854125976562;471,833333333;7,21034107599856;;;;;;;;;;;;;
2016-09-14 21:00:00;529,538513183594;477,166666667;10,9755878134594;"September";"East";"Wednesday";13,8;1010,5;89;60;10,8;0;;21;1;FALSE
2016-09-14 22:00:00;659,393341064453;607,166666667;8,60170316729473;;;;;;;;;;;;;
2016-09-14 23:00:00;627,311004638672;539,833333333;16,2045701708662;;;;;;;;;;;;;
